ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-0.115075,-0.072625,0.14765,0.20375,STANDING,3
-0.16995,0.01095,0.09815,0.197,STANDING,3
-0.232828571,0.026385714,0.004185714,0.250571429,STANDING,3
-0.297425,-0.008225,-0.212,0.3655,STANDING,3
-0.299,0.013225,-0.17115,0.34525,STANDING,3
-0.202925,0.043075,-0.152725,0.26125,STANDING,3
0.036,0.045175,-0.14075,0.16175,STANDING,3
0.130875,0.019,-0.091675,0.162,STANDING,3
0.132475,-0.00195,-0.054625,0.1435,STANDING,3
0.189575,0.0147,0.019275,0.1935,STANDING,3
0.234125,0.037175,0.065425,0.24625,STANDING,3
0.1239,0.017833333,0.0084,0.127666667,STANDING,3
0.02612,-0.02424,-0.09766,0.1098,STANDING,3
-0.034225,-0.030075,-0.1098,0.12225,STANDING,3
-0.069075,-0.037925,-0.0455,0.09125,STANDING,3
-0.06215,-0.00965,-0.0711,0.09675,STANDING,3
-0.098,-0.001733333,-0.084533333,0.13,STANDING,3
-0.09102,-0.00296,-0.10606,0.1402,STANDING,3
-0.09535,0.028175,-0.05575,0.11725,STANDING,3
-0.028925,0.0268,0.04645,0.0685,STANDING,3
0.037875,0.01335,-0.0083,0.0535,STANDING,3
0.112325,-0.000875,-0.05915,0.12825,STANDING,3
0.079075,-0.05,-0.0983,0.141,STANDING,3
-0.05,-0.057633333,-0.1337,0.156333333,STANDING,3
-0.07206,-0.04104,-0.15726,0.1786,STANDING,3
-0.032375,-0.054425,-0.01145,0.082,STANDING,3
-0.052533333,-0.069766667,0.063366667,0.108333333,STANDING,3
0.01116,-0.0302,0.00328,0.043,STANDING,3
-0.01475,-0.03245,0.030075,0.05125,STANDING,3
-0.0735,-0.02565,0.05365,0.1005,STANDING,3
-0.157175,0.033875,0.0672,0.17475,STANDING,3
-0.125766667,0.028566667,0.077433333,0.151,STANDING,3
-0.10536,-0.01244,0.18234,0.2128,STANDING,3
-0.177,-0.0235,0.13905,0.23425,STANDING,3
-0.156175,0.0371,0.032825,0.1655,STANDING,3
-0.1326,-0.005675,0.126175,0.18575,STANDING,3
-0.0976,-0.053066667,0.1134,0.160333333,STANDING,3
-0.0332,-0.09152,-0.06752,0.1388,STANDING,3
0.064975,-0.0098,-0.12655,0.15375,STANDING,3
-0.079625,0.165275,0.143275,0.23925,STANDING,3
-0.374725,0.184775,0.33405,0.53725,STANDING,3
-0.407066667,0.1896,0.279433333,0.528666667,STANDING,3
-0.06922,0.10578,0.17046,0.2516,STANDING,3
0.34655,-0.058175,-0.02615,0.357,STANDING,3
0.528675,-0.05705,-0.190675,0.5655,STANDING,3
0.467325,-0.04985,-0.2327,0.52525,STANDING,3
0.2814,-0.049733333,-0.230433333,0.368333333,STANDING,3
0.1433,-0.0414,-0.23142,0.2758,STANDING,3
0.140075,-0.0296,-0.17695,0.22825,STANDING,3
0.2087,-0.038825,-0.17985,0.27825,STANDING,3
0.23805,-0.053675,-0.2198,0.3285,STANDING,3
0.225033333,-0.050033333,-0.269933333,0.355333333,STANDING,3
0.2457,-0.00978,-0.28684,0.3782,STANDING,3
0.25785,-0.05195,-0.22225,0.3455,STANDING,3
0.23105,-0.099225,-0.240225,0.34925,STANDING,3
0.1892,-0.0362,-0.224375,0.2965,STANDING,3
0.117633333,0.026966667,-0.0997,0.156666667,STANDING,3
0.07824,0.04568,-0.04136,0.101,STANDING,3
0.1438,-0.00135,-0.002125,0.1445,STANDING,3
0.14985,-0.02795,-0.062,0.1675,STANDING,3
0.173775,-0.011175,-0.1379,0.2225,STANDING,3
0.159133333,0.028633333,-0.060233333,0.174,STANDING,3
0.05716,0.00868,-0.0216,0.0748,STANDING,3
0.00355,-0.051825,-0.115525,0.1275,STANDING,3
0.07155,-0.0277,-0.1948,0.21075,STANDING,3
0.12245,0.021975,-0.197675,0.234,STANDING,3
0.120825,0.0284,-0.129925,0.17975,STANDING,3
0.032025,-0.005825,-0.04725,0.0635,STANDING,3
-0.0465,-0.033925,-0.013975,0.061,STANDING,3
-0.0431,-0.00895,-0.0285,0.05475,STANDING,3
-0.00995,0.06075,0.000525,0.06475,STANDING,3
-0.017025,0.053525,0.049775,0.08,STANDING,3
-0.096675,0.003475,0.110875,0.1485,STANDING,3
-0.167925,0.009825,0.06885,0.1865,STANDING,3
-0.216725,0.0409,0.0381,0.224,STANDING,3
-0.1982,0.0303,0.05915,0.209,STANDING,3
-0.099925,0.009475,0.02315,0.104,STANDING,3
-0.04055,-0.0173,-0.029325,0.059,STANDING,3
0.002675,-0.034575,-0.100575,0.1085,STANDING,3
0.057475,-0.049,-0.10905,0.1335,STANDING,3
0.05715,-0.020325,-0.068325,0.095,STANDING,3
-0.0072,0.03465,0.045725,0.06375,STANDING,3
-0.052775,0.01915,0.018475,0.065,STANDING,3
-0.012125,-0.02105,-0.0885,0.09625,STANDING,3
0.081125,-0.0301,-0.08255,0.12225,STANDING,3
0.08215,0.004,0.0053,0.0935,STANDING,3
-0.029175,0.0412,0.064825,0.08875,STANDING,3
-0.092825,0.00985,0.048225,0.1065,STANDING,3
-0.07455,0.010725,-0.00375,0.077,STANDING,3
-0.027175,0.009525,-0.049825,0.0595,STANDING,3
-0.016475,-0.0213,-0.0612,0.0675,STANDING,3
-0.058375,-0.0432,-0.066,0.1,STANDING,3
-0.106175,-0.0286,-0.056975,0.124,STANDING,3
-0.096,0.00425,-0.03595,0.10325,STANDING,3
-0.047625,0.024275,-0.033025,0.06475,STANDING,3
0.02545,0.010475,-0.030775,0.048,STANDING,3
0.0333,-0.0474,-0.037075,0.07,STANDING,3
0.0339,-0.000725,-0.05905,0.07125,STANDING,3
0.0462,0.046425,-0.011275,0.0715,STANDING,3
0.03752,0.01338,0.06646,0.0796,STANDING,3
0.015033333,-0.0047,0.096733333,0.099,STANDING,3
-0.014475,0.006875,0.0895,0.092,STANDING,3
-0.0144,0.00944,0.0443,0.0488,STANDING,3
0.0208,-0.013025,-0.014225,0.04125,STANDING,3
-0.02915,-0.0097,-0.036175,0.057,STANDING,3
-0.041466667,0.001366667,-0.061866667,0.078,STANDING,3
-0.023175,-0.00385,-0.035925,0.047,STANDING,3
0.03406,-0.00262,-0.01352,0.041,STANDING,3
0.0877,-0.010433333,-0.033966667,0.095,STANDING,3
