ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-2.50718,-0.4421,-0.72312,2.6726,WALKING,6
-2.37445,-1.29565,-0.920925,2.86,WALKING,6
-2.40485,-1.18975,-1.185725,2.9445,WALKING,6
-3.59225,-0.479725,-1.86245,4.084,WALKING,6
-5.44745,-0.24315,-2.5748,6.03,WALKING,6
-7.680083333,-0.4348,-2.466616667,8.0855,WALKING,6
-6.74945,0.0158,-2.420675,7.1745,WALKING,6
-2.6049,0.01255,-1.26185,2.90675,WALKING,6
0.907825,-0.91645,-0.52265,1.4805,WALKING,6
2.2155,-2.2367,-0.99315,3.3065,WALKING,6
3.098183333,-4.426433333,0.024533333,5.4335,WALKING,6
6.339666667,-6.3521,0.245733333,8.983333333,WALKING,6
7.74168,-7.12098,0.01592,10.521,WALKING,6
6.143275,-4.958125,1.941025,8.19375,WALKING,6
4.504025,-1.451775,3.79725,6.14825,WALKING,6
2.1337,1.4478,4.780325,5.53125,WALKING,6
-0.549775,3.363775,3.6566,5.22425,WALKING,6
-4.25995,4.16225,-1.63535,6.27275,WALKING,6
-3.4916,3.249225,-1.2528,4.97,WALKING,6
-0.337166667,2.2374,1.005566667,2.613,WALKING,6
1.47994,2.29878,2.19282,3.51,WALKING,6
3.29375,2.354725,2.3986,4.7225,WALKING,6
4.80875,2.00395,2.88375,5.9595,WALKING,6
5.46345,1.520925,3.331725,6.579,WALKING,6
5.243133333,1.209566667,2.719766667,6.034666667,WALKING,6
4.60424,0.76886,-0.42772,4.9328,WALKING,6
1.9359,-0.12185,-4.8829,5.425,WALKING,6
-2.690775,-1.76485,-5.405475,6.39275,WALKING,6
-8.9607,-3.9899,-10.8795,14.69975,WALKING,6
-14.05656667,-4.494866667,-6.9559,16.37766667,WALKING,6
-9.42252,-3.9251,-2.98926,10.723,WALKING,6
0.801925,-3.4836,-5.42885,6.66675,WALKING,6
4.82205,-4.3761,2.0132,7.82025,WALKING,6
6.04955,-2.870725,9.026975,11.2675,WALKING,6
2.70355,-2.0998,8.127925,8.84925,WALKING,6
1.132075,-1.014525,6.26375,6.45425,WALKING,6
2.43895,1.11225,4.459575,5.29575,WALKING,6
4.742225,2.77145,3.336025,6.45575,WALKING,6
5.513975,2.74955,-0.03075,6.90125,WALKING,6
3.371625,0.7185,-4.426275,5.6325,WALKING,6
1.405925,-0.713275,-1.1491,2.04175,WALKING,6
-0.825125,-1.44515,0.25625,1.83625,WALKING,6
-2.389133333,-1.347966667,2.1991,3.529,WALKING,6
-2.7256,-0.4252,3.02458,4.1078,WALKING,6
-1.462225,0.41805,2.31445,2.795,WALKING,6
-0.246725,1.3608,1.4281,2.039,WALKING,6
0.11785,2.070925,1.027475,2.315,WALKING,6
-0.0703,1.654025,0.599475,1.77525,WALKING,6
-0.759075,1.052775,-0.161875,1.33475,WALKING,6
-1.26255,0.917875,-1.154725,1.97825,WALKING,6
-1.15445,0.605475,-3.47225,3.722,WALKING,6
-1.1489,0.5202,-3.409525,3.64125,WALKING,6
-1.48795,0.66015,-1.869125,2.51,WALKING,6
-2.564725,0.448825,-0.9929,2.80275,WALKING,6
-3.490825,-0.076075,-0.52385,3.53825,WALKING,6
-3.634125,-0.559125,0.0958,3.68475,WALKING,6
-2.97845,-0.48885,0.2867,3.039,WALKING,6
-3.237475,-0.039625,-0.751425,3.3325,WALKING,6
-4.9518,-0.404575,-2.0688,5.38675,WALKING,6
-6.95305,-1.106775,-2.65525,7.52525,WALKING,6
-7.0414,-0.80765,-3.274775,7.8165,WALKING,6
-3.67575,-0.392875,-2.78315,4.649,WALKING,6
-0.160125,-0.50335,-1.167175,1.46175,WALKING,6
1.2889,-1.199675,-0.894225,1.9935,WALKING,6
1.5409,-2.445125,0.646275,3.03,WALKING,6
3.83085,-3.584825,2.303975,5.744,WALKING,6
6.430675,-5.2204,1.696375,8.47175,WALKING,6
6.776925,-5.80045,0.985925,8.97775,WALKING,6
6.323975,-3.630925,5.175075,9.32725,WALKING,6
3.455775,-0.575225,2.898775,4.5895,WALKING,6
0.57525,1.71335,1.69725,2.54575,WALKING,6
-2.08695,2.960375,-0.42465,3.87825,WALKING,6
-3.187175,2.699775,-1.748225,4.54325,WALKING,6
-0.415825,1.6945,0.903975,2.27175,WALKING,6
1.59285,1.89235,2.590525,3.585,WALKING,6
2.238125,2.637725,2.52255,4.301,WALKING,6
3.8893,2.34215,2.487975,5.18975,WALKING,6
5.086666667,1.989933333,2.876733333,6.174666667,WALKING,6
5.23126,2.00644,2.61244,6.1886,WALKING,6
4.8154,1.9797,0.584175,5.297,WALKING,6
3.378625,0.89715,-3.149375,4.94225,WALKING,6
-1.3421,-1.663225,-5.03135,5.6735,WALKING,6
-8.4552,-5.23195,-12.74255,16.1945,WALKING,6
-13.695075,-5.982125,-7.33,16.82275,WALKING,6
-8.8523,-4.546825,-2.440275,10.2875,WALKING,6
0.332125,-3.221775,-4.65175,6.03575,WALKING,6
4.014625,-4.52955,-0.97375,7.55925,WALKING,6
5.939325,-3.30385,8.093275,10.614,WALKING,6
3.511375,-2.0668,8.4533,9.3995,WALKING,6
1.939325,-0.728775,6.936725,7.24525,WALKING,6
2.576975,0.8369,4.83575,5.6005,WALKING,6
4.2759,2.144875,3.358875,5.872,WALKING,6
5.50675,1.9527,2.3601,6.31975,WALKING,6
5.640975,0.32815,-1.4035,6.11425,WALKING,6
2.9607,-0.335325,-1.871,3.51975,WALKING,6
