ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
2.58345,-2.503225,-1.1325,3.78925,WALKING,4
3.44292,-3.41462,0.34404,4.8894,WALKING,4
4.1854,-4.0666,2.268975,6.2735,WALKING,4
4.30335,-3.5681,3.682575,6.715,WALKING,4
3.151675,-1.508425,4.134,5.449,WALKING,4
-0.12515,0.914025,2.062925,2.676,WALKING,4
-3.641175,2.3191,-1.026875,4.4685,WALKING,4
-3.878275,2.21135,-1.02305,4.60475,WALKING,4
-1.522275,1.5042,1.0001,2.474,WALKING,4
0.367975,1.352275,1.46165,2.07625,WALKING,4
1.697433333,1.678066667,1.159433333,2.664666667,WALKING,4
3.590675,1.4755,1.723575,4.2665,WALKING,4
5.38738,1.08928,2.92768,6.2304,WALKING,4
6.101275,1.495475,3.7272,7.30675,WALKING,4
6.07235,2.289475,3.156825,7.22725,WALKING,4
6.223,2.545233333,1.359033333,6.884666667,WALKING,4
5.07362,2.0011,-2.52364,6.3054,WALKING,4
-0.85855,-0.357575,-6.139225,6.58675,WALKING,4
-9.108133333,-3.636466667,-10.88153333,14.69033333,WALKING,4
-15.29886,-5.87154,-6.333,17.7184,WALKING,4
-13.06096667,-5.141266667,-3.011533333,14.358,WALKING,4
-3.0422,-2.79788,-3.1239,6.198,WALKING,4
3.0461,-4.667725,0.94245,6.2155,WALKING,4
5.249575,-4.741925,7.93765,10.6555,WALKING,4
3.369975,-4.122425,8.2739,9.84525,WALKING,4
2.273525,-2.23185,6.3143,7.09225,WALKING,4
3.068366667,0.3219,4.897133333,5.838666667,WALKING,4
5.35356,2.52776,3.33506,6.8896,WALKING,4
10.735925,2.299875,-6.735625,13.06725,WALKING,4
6.3434,1.534975,0.514975,6.7535,WALKING,4
1.014275,0.621575,2.818125,3.26525,WALKING,4
-2.233025,-0.572225,1.5473,2.87425,WALKING,4
-3.2979,-1.36365,1.438975,3.8575,WALKING,4
-2.026125,-1.837875,1.8864,3.35625,WALKING,4
-1.110875,-0.9158,1.217075,1.94725,WALKING,4
-1.709475,0.9431,0.22595,1.99725,WALKING,4
-1.888775,2.253225,0.763275,3.046,WALKING,4
-1.74645,2.97475,0.924,3.5735,WALKING,4
-2.01305,2.823725,0.281025,3.498,WALKING,4
-2.2535,2.0041,-1.0879,3.26,WALKING,4
-1.8707,0.9639,-3.3611,4.00525,WALKING,4
-1.770525,0.2965,-3.30805,3.7725,WALKING,4
-2.1099,0.16115,-1.84145,2.826,WALKING,4
-3.15645,-0.519,-1.0582,3.3915,WALKING,4
-3.9087,-1.463575,-0.547325,4.2135,WALKING,4
-3.274525,-1.27465,-0.76775,3.6125,WALKING,4
-3.5646,-0.0814,-1.652725,3.94325,WALKING,4
-4.954475,0.3795,-1.987625,5.35425,WALKING,4
-6.82225,-0.67515,-1.911175,7.13225,WALKING,4
-6.61325,-1.171725,-1.96235,7.00675,WALKING,4
-3.224725,-0.45775,-2.1274,3.9255,WALKING,4
0.160325,-0.857,-1.992175,2.33625,WALKING,4
1.91655,-2.6548,-1.3317,3.629,WALKING,4
2.769775,-4.14525,1.062075,5.1175,WALKING,4
5.367925,-5.997125,2.092375,8.32075,WALKING,4
7.0663,-7.44765,2.08075,10.47575,WALKING,4
5.598025,-6.1179,3.0491,8.879,WALKING,4
3.7392,-2.5922,4.523525,6.4865,WALKING,4
1.535325,0.520225,2.8795,5.37225,WALKING,4
-2.32815,2.875325,-3.37535,5.0105,WALKING,4
-1.640475,3.386225,-1.795275,4.26375,WALKING,4
0.060725,3.162425,1.6923,3.685,WALKING,4
0.49195,3.381475,3.1708,4.662,WALKING,4
0.75975,3.606175,3.3499,4.993,WALKING,4
3.06455,2.626325,3.781225,5.58475,WALKING,4
5.325875,1.563325,4.547325,7.18475,WALKING,4
6.38665,1.1655,4.83275,8.09575,WALKING,4
6.281225,1.350275,2.940625,7.10525,WALKING,4
5.649625,0.82225,-1.05855,6.00575,WALKING,4
0.9723,-1.3701,-6.12585,6.806,WALKING,4
-7.04705,-5.01845,-11.678625,14.5455,WALKING,4
-15.0393,-7.10955,-11.7936,20.665,WALKING,4
-13.164225,-5.0161,-3.7303,14.58275,WALKING,4
-3.134,-1.6805,-1.73695,4.705,WALKING,4
3.857925,-1.074325,-3.306275,5.48525,WALKING,4
6.6912,-2.252825,8.7415,11.3025,WALKING,4
6.304533333,-3.1305,11.43686667,13.452,WALKING,4
1.35946,-3.74714,7.98698,9.0076,WALKING,4
-0.16665,-2.5844,4.613925,5.30925,WALKING,4
2.4792,0.181075,3.146575,4.18,WALKING,4
6.769825,1.75405,-4.40115,9.7,WALKING,4
8.9605,2.0615,-6.600233333,11.34466667,WALKING,4
4.6212,1.688125,-0.2848,5.246,WALKING,4
0.3063,0.2984,3.38848,3.6414,WALKING,4
-1.95195,-0.730225,3.645125,4.20725,WALKING,4
-2.067675,-1.191125,3.066875,3.887,WALKING,4
-1.493375,-0.753,2.04025,2.6555,WALKING,4
-1.92435,0.5223,0.106475,2.10675,WALKING,4
-2.85395,1.9751,-1.2766,3.7015,WALKING,4
-2.753375,2.5265,-0.89605,3.847,WALKING,4
-1.914,2.086675,-0.91735,2.98075,WALKING,4
-1.4081,1.221075,-0.963,2.1005,WALKING,4
-0.763775,0.68795,-1.281975,1.681,WALKING,4
-0.079525,0.330525,-2.103275,2.13575,WALKING,4
-0.090425,0.411725,-1.263175,1.35675,WALKING,4
-0.86305,0.402175,-0.335575,1.05725,WALKING,4
-1.7594,-0.47995,-0.309625,1.868,WALKING,4
-2.4269,-1.27375,-0.77625,2.84975,WALKING,4
-2.76414,-0.85326,-1.29256,3.199,WALKING,4
-3.584866667,0.083333333,-2.013166667,4.113666667,WALKING,4
-4.737125,0.1643,-2.11435,5.19425,WALKING,4
-6.4622,-0.555533333,-2.234633333,6.867333333,WALKING,4
-7.222433333,-1.12145,-2.250383333,7.666,WALKING,4
-4.02635,-0.0709,-2.868175,4.966,WALKING,4
-0.965775,-0.218125,-1.8948,2.224,WALKING,4
0.595066667,-1.3468,-1.0542,1.876,WALKING,4
1.0987,-3.0057,1.14378,3.4574,WALKING,4
3.957425,-5.540875,2.148525,7.16075,WALKING,4
6.29845,-7.9588,0.9018,10.1985,WALKING,4
6.257575,-7.9535,0.955275,10.176,WALKING,4
4.716366667,-4.707633333,2.363033333,7.111333333,WALKING,4
3.55172,-0.98748,2.88826,4.8056,WALKING,4
1.42585,2.182125,1.1709,3.0865,WALKING,4
-0.181275,3.742975,-0.66545,3.814,WALKING,4
-0.04365,3.88905,0.55405,3.976,WALKING,4
0.5264,3.463733333,2.521933333,4.34,WALKING,4
0.60548,2.9737,3.4718,4.6126,WALKING,4
1.136925,2.509975,3.172275,4.2195,WALKING,4
3.4643,1.8557,2.807875,4.8725,WALKING,4
5.389575,1.564275,2.905975,6.32125,WALKING,4
5.945166667,1.6447,3.124433333,6.915333333,WALKING,4
5.54612,1.82834,1.35654,6.0796,WALKING,4
3.702625,0.85165,-3.475775,5.473,WALKING,4
