ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
0.024,-0.5881,-0.61672,0.9022,WALKING_UPSTAIRS,5
0.080075,-0.861125,-0.8228,1.196,WALKING_UPSTAIRS,5
0.037275,-0.737975,-0.354225,0.83725,WALKING_UPSTAIRS,5
0.027275,-0.3508,0.232575,0.4695,WALKING_UPSTAIRS,5
0.130325,0.0597,0.324675,0.365,WALKING_UPSTAIRS,5
0.176775,-0.01075,-0.442,0.51275,WALKING_UPSTAIRS,5
-0.20945,-0.194525,-1.6434,1.6755,WALKING_UPSTAIRS,5
-0.912275,-0.4198,-2.342075,2.551,WALKING_UPSTAIRS,5
-1.080875,-0.5883,-2.2801,2.59175,WALKING_UPSTAIRS,5
-0.45585,-0.619075,-1.87055,2.03475,WALKING_UPSTAIRS,5
0.43225,-0.627925,-1.70785,1.8945,WALKING_UPSTAIRS,5
1.7396,-0.59415,-1.35225,2.3235,WALKING_UPSTAIRS,5
3.07165,-0.26955,-0.1757,3.124,WALKING_UPSTAIRS,5
3.4948,0.47555,1.026675,3.69175,WALKING_UPSTAIRS,5
2.0239,1.26755,1.616975,2.94725,WALKING_UPSTAIRS,5
-0.295975,1.77405,1.609175,2.49,WALKING_UPSTAIRS,5
-1.911,1.42135,0.76515,2.5365,WALKING_UPSTAIRS,5
-2.489925,1.132,0.123625,2.748,WALKING_UPSTAIRS,5
-2.56665,0.91155,-0.69655,2.82725,WALKING_UPSTAIRS,5
-1.9013,0.969125,-1.30075,2.52075,WALKING_UPSTAIRS,5
-1.353175,1.613225,-1.785725,2.76725,WALKING_UPSTAIRS,5
-0.5739,1.887375,-1.873025,2.73825,WALKING_UPSTAIRS,5
0.6842,1.827525,-1.71195,2.61575,WALKING_UPSTAIRS,5
1.367175,1.551225,-1.7445,2.7085,WALKING_UPSTAIRS,5
1.2663,1.27685,-2.082,2.75725,WALKING_UPSTAIRS,5
0.661275,1.2742,-2.214325,2.64525,WALKING_UPSTAIRS,5
0.03045,1.592975,-1.50865,2.22175,WALKING_UPSTAIRS,5
-0.633325,1.89165,-1.5113,2.52625,WALKING_UPSTAIRS,5
-2.29575,-0.628775,-1.01915,2.97575,WALKING_UPSTAIRS,5
-2.510175,-4.1535,1.915525,5.322,WALKING_UPSTAIRS,5
-1.0488,-5.5027,0.927075,5.784,WALKING_UPSTAIRS,5
0.84505,-4.73325,-1.614175,5.18,WALKING_UPSTAIRS,5
3.9692,-2.1943,0.287625,4.701,WALKING_UPSTAIRS,5
5.2285,-0.0227,2.728175,5.9365,WALKING_UPSTAIRS,5
4.16024,1.0402,3.48408,5.5418,WALKING_UPSTAIRS,5
1.576525,0.283325,3.029325,3.495,WALKING_UPSTAIRS,5
-0.9732,-1.298475,2.800975,3.34825,WALKING_UPSTAIRS,5
-3.010075,-2.221475,0.958725,3.96625,WALKING_UPSTAIRS,5
-4.17475,-1.46285,-1.9321,4.865,WALKING_UPSTAIRS,5
-3.21195,-0.2779,-1.9769,3.7905,WALKING_UPSTAIRS,5
-0.993025,0.315675,-1.05245,1.50675,WALKING_UPSTAIRS,5
-0.07815,0.6082,-0.1998,0.72325,WALKING_UPSTAIRS,5
-0.2091,0.3588,0.98995,1.12475,WALKING_UPSTAIRS,5
-0.7222,-0.5148,1.564075,1.8045,WALKING_UPSTAIRS,5
-0.538275,-0.4511,1.466625,1.63025,WALKING_UPSTAIRS,5
0.37275,0.318475,0.12205,0.745,WALKING_UPSTAIRS,5
0.818375,1.355875,-2.05945,2.612,WALKING_UPSTAIRS,5
0.658625,2.11655,-3.29615,3.97475,WALKING_UPSTAIRS,5
0.167275,1.95695,-2.346425,3.06575,WALKING_UPSTAIRS,5
-0.489175,1.0117,-0.7513,1.4115,WALKING_UPSTAIRS,5
-0.715025,0.200675,0.542025,0.96025,WALKING_UPSTAIRS,5
-0.3796,-0.353875,0.26115,0.64775,WALKING_UPSTAIRS,5
-0.657375,-0.782775,-0.441775,1.11425,WALKING_UPSTAIRS,5
-1.05255,-1.5558,-0.674325,1.9985,WALKING_UPSTAIRS,5
-1.45325,-2.932075,-1.08785,3.45125,WALKING_UPSTAIRS,5
-1.747075,-4.8078,-2.302725,5.6125,WALKING_UPSTAIRS,5
-2.34175,-6.701875,-3.54765,7.9375,WALKING_UPSTAIRS,5
-3.813225,-7.58845,-4.446425,9.59525,WALKING_UPSTAIRS,5
-4.119375,-6.791325,-3.617775,8.73175,WALKING_UPSTAIRS,5
-1.421625,-4.072425,-2.2434,4.8835,WALKING_UPSTAIRS,5
-0.235125,-1.0171,-2.3343,2.6585,WALKING_UPSTAIRS,5
-0.5357,0.42765,-1.3153,1.523,WALKING_UPSTAIRS,5
0.623825,-0.575725,0.263325,0.966,WALKING_UPSTAIRS,5
2.18015,-1.701425,1.362925,3.0865,WALKING_UPSTAIRS,5
2.416225,-1.67935,2.212525,3.6915,WALKING_UPSTAIRS,5
2.44105,-1.094125,2.99735,4.0255,WALKING_UPSTAIRS,5
2.315475,-0.7733,4.024025,4.71,WALKING_UPSTAIRS,5
1.68705,-0.654025,4.245475,4.626,WALKING_UPSTAIRS,5
-0.966475,-1.053175,1.55985,2.6985,WALKING_UPSTAIRS,5
-2.64258,-2.52366,-1.8995,4.1556,WALKING_UPSTAIRS,5
-1.451566667,-3.2988,-0.517833333,3.673,WALKING_UPSTAIRS,5
-0.28312,-2.94242,1.5077,3.4248,WALKING_UPSTAIRS,5
1.108066667,-1.9873,3.253966667,3.997,WALKING_UPSTAIRS,5
2.76556,-0.53622,3.55756,4.6026,WALKING_UPSTAIRS,5
4.26025,1.041575,3.434225,5.58,WALKING_UPSTAIRS,5
5.245566667,2.036766667,3.809133333,6.796666667,WALKING_UPSTAIRS,5
5.858225,2.995875,4.272325,7.8485,WALKING_UPSTAIRS,5
5.71065,3.919975,4.043025,8.02675,WALKING_UPSTAIRS,5
4.904575,4.175775,3.024125,7.119,WALKING_UPSTAIRS,5
3.933875,3.1913,1.917,5.41775,WALKING_UPSTAIRS,5
2.540425,2.10975,1.23025,3.533,WALKING_UPSTAIRS,5
0.20855,1.88715,1.71885,2.66925,WALKING_UPSTAIRS,5
-1.7039,2.125275,3.27585,4.26575,WALKING_UPSTAIRS,5
-1.96755,2.329275,3.588925,4.7125,WALKING_UPSTAIRS,5
-0.83974,2.4287,-0.885,3.9846,WALKING_UPSTAIRS,5
0.0171,2.961866667,-16.53943333,16.80766667,WALKING_UPSTAIRS,5
-2.099175,-0.41635,-1.082175,5.2385,WALKING_UPSTAIRS,5
-2.17545,-8.625925,4.325025,9.8965,WALKING_UPSTAIRS,5
-2.079475,-10.138425,4.6026,11.3455,WALKING_UPSTAIRS,5
-0.990075,-4.05895,-0.6183,4.67,WALKING_UPSTAIRS,5
1.727225,1.816375,-3.81825,4.6695,WALKING_UPSTAIRS,5
3.91175,3.43435,-2.47935,5.841,WALKING_UPSTAIRS,5
4.95492,1.64604,0.44388,5.3996,WALKING_UPSTAIRS,5
3.567975,-1.4547,4.0951,5.78825,WALKING_UPSTAIRS,5
0.9138,-3.70825,5.781775,6.98925,WALKING_UPSTAIRS,5
-1.428233333,-4.106466667,3.920866667,5.898666667,WALKING_UPSTAIRS,5
-2.2148,-3.026825,-0.60565,4.14475,WALKING_UPSTAIRS,5
-1.301275,-1.156175,-4.204275,4.6065,WALKING_UPSTAIRS,5
-0.1703,-0.011475,-3.8754,3.89175,WALKING_UPSTAIRS,5
0.338425,0.468275,-0.458025,1.15925,WALKING_UPSTAIRS,5
0.538025,0.254775,2.5002,2.5835,WALKING_UPSTAIRS,5
0.255275,0.08605,4.447825,4.4575,WALKING_UPSTAIRS,5
0.174875,0.27295,4.0545,4.07025,WALKING_UPSTAIRS,5
0.5381,0.818475,1.4712,1.98275,WALKING_UPSTAIRS,5
0.96975,1.672575,-2.235475,2.991,WALKING_UPSTAIRS,5
0.0381,2.678875,-3.7093,4.602,WALKING_UPSTAIRS,5
