ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
0.703525,0.930975,1.5268,1.97125,WALKING,1
2.1419,0.397425,0.846375,2.38875,WALKING,1
2.0812,0.695775,-1.398825,2.717,WALKING,1
0.839133333,1.173566667,-3.128233333,3.475,WALKING,1
-0.250383333,1.254566667,-3.122916667,3.385,WALKING,1
0.067033333,1.098966667,-1.5175,1.885666667,WALKING,1
0.72805,0.76135,-0.337525,1.144,WALKING,1
0.762975,0.473875,-1.007225,1.40625,WALKING,1
1.17964,0.2562,-2.2063,2.5354,WALKING,1
1.792866667,-0.409166667,-1.7336,2.537333333,WALKING,1
1.6191,-1.2029,-1.1419,2.3375,WALKING,1
1.59975,-2.1019,-1.4403,3.018,WALKING,1
2.288,-2.25722,-4.24294,5.3556,WALKING,1
4.6161,-2.571433333,-4.749833333,7.161666667,WALKING,1
5.66332,-2.9405,-2.2776,6.7848,WALKING,1
4.015,-3.256133333,-2.400033333,5.735333333,WALKING,1
4.71975,-5.388,-1.598925,7.35425,WALKING,1
5.836675,-4.31155,-1.965325,7.52725,WALKING,1
3.9378,-3.233833333,-2.805566667,5.838,WALKING,1
-0.15635,-3.489066667,-2.251966667,4.4985,WALKING,1
-5.51575,-4.298225,0.139225,7.0995,WALKING,1
-9.468533333,-3.6997,2.6161,10.50966667,WALKING,1
-9.91902,-3.0929,2.97212,10.81,WALKING,1
-4.095775,-3.254375,0.11235,5.52075,WALKING,1
0.23415,-3.201325,-0.902125,3.42525,WALKING,1
3.37985,-2.7509,1.581325,4.7685,WALKING,1
6.172,-1.769633333,3.189033333,7.187666667,WALKING,1
2.08068,0.10948,3.3079,4.4444,WALKING,1
-2.708725,2.1608,3.73875,5.1055,WALKING,1
-2.440825,3.120725,4.424925,5.94225,WALKING,1
-2.8865,3.816,4.51485,6.58075,WALKING,1
-3.8195,4.30525,5.393575,7.88975,WALKING,1
-3.795175,4.80385,6.36495,8.834,WALKING,1
-3.1923,5.055233333,6.2861,8.678,WALKING,1
-2.69456,5.33288,5.8347,8.3576,WALKING,1
-3.006833333,5.432333333,4.017766667,7.407666667,WALKING,1
-2.16952,5.11832,1.59746,5.8736,WALKING,1
0.060975,3.5877,-2.361075,4.54775,WALKING,1
2.085266667,-0.145466667,-5.921133333,6.405333333,WALKING,1
6.42418,-9.5404,-13.175,17.609,WALKING,1
5.320925,-17.48815,-5.828,19.4295,WALKING,1
0.7205,-4.57805,-2.40955,5.84625,WALKING,1
-1.703125,5.33905,-2.914625,6.375,WALKING,1
-5.33,0.027975,-3.859475,7.7635,WALKING,1
1.418925,-7.7933,-5.056575,9.92525,WALKING,1
2.163,-4.9248,10.79025,13.2725,WALKING,1
-4.213725,2.43125,14.322325,15.31675,WALKING,1
-5.0796,5.308475,4.5571,8.70225,WALKING,1
-6.247075,2.76935,6.988575,9.9485,WALKING,1
-6.15535,-1.966525,7.3376,9.8965,WALKING,1
-4.2991,-3.915966667,2.831066667,6.504333333,WALKING,1
-1.26124,-1.8491,1.07486,2.5048,WALKING,1
-0.266775,0.1772,1.26575,1.3665,WALKING,1
0.441475,0.501525,1.406225,1.56925,WALKING,1
0.1554,0.7879,-0.0777,0.87,WALKING,1
1.515175,1.084275,1.58835,2.46025,WALKING,1
2.52,1.466825,1.514225,3.39325,WALKING,1
2.250225,1.394375,-1.967425,3.407,WALKING,1
0.8652,0.668175,-3.832425,4.0455,WALKING,1
-0.84675,1.324025,-3.762375,4.11025,WALKING,1
0.240825,1.842625,-1.5017,2.51125,WALKING,1
2.0116,1.065875,0.530225,2.417,WALKING,1
2.571775,0.4878,1.146825,2.86875,WALKING,1
2.031425,-0.1691,-0.241475,2.12575,WALKING,1
1.6303,-1.191625,-1.966825,2.84575,WALKING,1
1.2091,-2.747475,-4.26715,5.23125,WALKING,1
1.392775,-3.349775,-5.557675,6.6495,WALKING,1
3.745925,-2.561925,-2.546525,5.433,WALKING,1
6.7507,-2.689275,0.349375,7.27975,WALKING,1
7.27735,-3.1762,-1.096625,8.071,WALKING,1
7.263025,-6.421975,-2.507525,10.02625,WALKING,1
6.458875,-5.34565,-3.845675,9.2505,WALKING,1
3.336975,-2.696425,-2.604175,5.0425,WALKING,1
-1.655325,-1.761325,-2.185125,3.4875,WALKING,1
-6.409425,-3.960525,-0.77545,7.614,WALKING,1
-9.9019,-5.160325,1.3225,11.26725,WALKING,1
-10.90465,-4.34085,3.5884,12.2845,WALKING,1
-8.371,-3.515275,2.890125,9.5375,WALKING,1
-1.662275,-2.05785,1.0625,3.00525,WALKING,1
0.645325,-1.01345,2.454725,2.76925,WALKING,1
3.86595,-1.350675,4.551975,6.1925,WALKING,1
5.39695,-1.429375,3.42935,6.5555,WALKING,1
0.2863,-0.0561,3.4337,3.8895,WALKING,1
-3.45595,2.071875,4.990925,6.4325,WALKING,1
-3.61435,3.2749,4.670425,6.75975,WALKING,1
-4.3001,3.43185,4.3184,6.997,WALKING,1
-4.999025,3.9652,5.07805,8.1565,WALKING,1
-4.4296,4.44675,5.718475,8.49875,WALKING,1
-3.7026,4.8119,5.9111,8.47675,WALKING,1
-3.1805,5.1412,4.722975,7.67825,WALKING,1
-2.97865,4.7134,3.04755,6.366,WALKING,1
-2.6668,4.306075,0.904525,5.199,WALKING,1
-1.315475,3.36115,-2.5387,4.601,WALKING,1
1.46475,-0.188625,-5.615075,6.05525,WALKING,1
5.891475,-7.6767,-11.300075,14.91775,WALKING,1
5.6337,-13.8891,-7.372275,16.89675,WALKING,1
3.905975,-5.054075,-3.5424,7.8535,WALKING,1
3.348175,3.324425,-4.7909,6.82825,WALKING,1
-0.802525,-4.12965,-4.3772,7.14475,WALKING,1
-2.734525,-10.460275,0.35885,11.08325,WALKING,1
-6.2358,-3.079825,8.059025,11.153,WALKING,1
-8.222575,3.310125,2.156625,9.54675,WALKING,1
-6.8927,5.820975,3.440075,9.762,WALKING,1
-6.1742,4.119575,8.663525,11.5245,WALKING,1
-5.1109,-0.38605,10.508825,11.74925,WALKING,1
-3.149775,-3.125125,7.03545,8.4005,WALKING,1
1.823225,-3.9361,2.178425,5.188,WALKING,1
4.209325,-2.659675,-0.5745,5.06775,WALKING,1
4.5123,-0.191525,-0.9321,4.677,WALKING,1
2.73,1.626075,-0.596075,3.30375,WALKING,1
0.31745,1.876325,0.283175,1.98275,WALKING,1
-0.53285,1.6844,0.734425,1.9265,WALKING,1
0.381525,2.214475,0.810025,2.41675,WALKING,1
1.2857,2.164275,-0.482325,2.661,WALKING,1
1.92185,0.80145,-2.556575,3.33625,WALKING,1
1.40798,0.15082,-2.77602,3.1314,WALKING,1
0.369425,0.473025,-1.91755,2.02175,WALKING,1
0.886875,0.642475,-0.99575,1.49375,WALKING,1
1.0503,0.5446,-1.2642,1.74325,WALKING,1
1.5771,-0.063166667,-1.6625,2.294666667,WALKING,1
1.4616,-0.58444,-1.66012,2.3126,WALKING,1
1.3325,-2.1645,-2.4824,3.56125,WALKING,1
1.3779,-3.630175,-4.104425,5.654,WALKING,1
2.890775,-3.769325,-4.3807,6.53275,WALKING,1
5.342433333,-2.982866667,-2.072966667,6.495666667,WALKING,1
6.68316,-2.70922,-2.29304,7.5822,WALKING,1
6.65935,-5.10365,-2.3346,8.717,WALKING,1
5.9312,-4.3735,-2.658175,7.8505,WALKING,1
1.986725,-1.9698,-2.97425,4.32275,WALKING,1
-2.219875,-2.190175,-1.806125,3.7775,WALKING,1
-6.7352,-5.05595,0.30905,8.4675,WALKING,1
-10.458975,-5.37715,2.209725,11.9825,WALKING,1
-9.79135,-4.191025,3.60875,11.25875,WALKING,1
-5.22285,-3.06465,3.526375,7.033,WALKING,1
-2.5802,-1.9946,2.592533333,4.194333333,WALKING,1
2.94648,-1.30204,2.07802,4.1886,WALKING,1
7.99815,-1.708875,2.886475,8.67525,WALKING,1
3.92935,-1.0614,2.388775,4.9865,WALKING,1
-2.5743,1.101925,3.435,4.50775,WALKING,1
-3.900525,2.798225,4.45525,6.56025,WALKING,1
-4.362525,3.25235,4.7782,7.2525,WALKING,1
-5.036175,3.283275,4.774875,7.67925,WALKING,1
-4.602075,3.813475,5.6263,8.217,WALKING,1
-4.007875,4.623175,6.265425,8.76225,WALKING,1
-2.93605,5.1415,6.13455,8.53275,WALKING,1
-2.523475,5.40865,4.6148,7.5555,WALKING,1
-2.72015,4.727875,2.509325,6.0315,WALKING,1
-2.148325,4.062325,-0.3062,4.7195,WALKING,1
0.0026,2.1796,-4.2023,4.95025,WALKING,1
3.49055,-2.91335,-8.0035,9.34675,WALKING,1
8.393666667,-11.64136667,-15.1403,20.93466667,WALKING,1
6.16656,-14.19338,-6.3713,16.8308,WALKING,1
3.2563,-1.164725,-3.963375,5.85375,WALKING,1
-1.93935,-3.284925,-6.45425,7.8905,WALKING,1
-0.87225,-8.91005,-5.62245,10.6295,WALKING,1
-1.202183333,-2.243716667,7.303583333,10.852,WALKING,1
-8.285875,7.329525,8.768225,14.653,WALKING,1
-8.673125,6.288325,0.608925,11.008,WALKING,1
-6.5427,2.094125,9.744725,12.1295,WALKING,1
-4.612725,-2.241475,9.433675,10.79725,WALKING,1
-1.840925,-3.34775,4.071525,5.73875,WALKING,1
2.79385,-3.0963,1.14715,4.471,WALKING,1
3.47555,-1.478125,-0.56745,3.8605,WALKING,1
2.598175,0.416075,0.3273,2.7115,WALKING,1
0.765275,1.365375,0.165225,1.67275,WALKING,1
-0.2948,1.7302,-0.437866667,1.813333333,WALKING,1
-0.13666,1.44142,0.53776,1.5862,WALKING,1
1.057475,1.277325,0.438175,1.78025,WALKING,1
1.4199,1.2416,-1.3791,2.389,WALKING,1
0.90805,1.076675,-2.62315,2.98325,WALKING,1
0.47965,1.021125,-1.889925,2.20925,WALKING,1
0.0847,1.0612,-0.896,1.41025,WALKING,1
0.411575,1.168475,0.19295,1.3005,WALKING,1
