ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
2.278625,-2.325225,-1.806575,3.7305,WALKING,3
3.58612,-3.5104,-2.65072,5.6828,WALKING,3
4.185975,-3.1223,-3.068675,6.058,WALKING,3
3.6544,-4.83845,-2.482875,6.587,WALKING,3
3.95895,-6.685375,-2.721725,8.24075,WALKING,3
3.707833333,-5.238,-4.2156,7.705333333,WALKING,3
0.68154,-2.39388,-5.73258,6.4526,WALKING,3
-2.73855,-1.78825,-3.67055,5.07225,WALKING,3
-5.82205,-3.332125,-0.277575,6.77675,WALKING,3
-8.353475,-4.6711,2.2609,9.8485,WALKING,3
-8.735466667,-4.190233333,4.440766667,10.67433333,WALKING,3
-5.95754,-3.07,4.75194,8.2324,WALKING,3
-0.94175,-1.9294,0.899425,2.76825,WALKING,3
5.06445,-1.68935,1.22275,5.50075,WALKING,3
7.404725,-0.966075,2.01805,11.64925,WALKING,3
1.7373,-0.7263,0.714275,2.899,WALKING,3
-2.367,0.9754,4.46465,5.1515,WALKING,3
-3.0431,2.64805,5.450775,6.817,WALKING,3
-3.4187,4.27245,4.578975,7.14175,WALKING,3
-3.418425,4.920375,5.388075,8.06625,WALKING,3
-3.080166667,4.900733333,5.883,8.254666667,WALKING,3
-2.94978,4.85446,5.67078,8.0304,WALKING,3
-2.2616,4.755833333,5.549733333,7.652,WALKING,3
-2.16504,4.67372,4.63508,6.9332,WALKING,3
-2.266125,4.6726,2.8527,5.95325,WALKING,3
-1.60675,4.463275,-0.327125,4.88725,WALKING,3
0.2908,3.405833333,-3.8844,5.270666667,WALKING,3
3.80656,-1.66772,-8.04542,9.4042,WALKING,3
8.22855,-14.118675,-13.667275,21.58925,WALKING,3
3.65175,-16.1628,-4.88715,17.314,WALKING,3
0.58595,-4.271875,-4.14435,6.37275,WALKING,3
-5.00515,-3.286825,-4.669025,7.616,WALKING,3
-3.1433,-5.129825,-8.82355,10.9575,WALKING,3
0.848125,-0.850225,5.1027,7.4855,WALKING,3
-5.9379,7.661325,15.561225,18.4225,WALKING,3
-7.0522,9.298275,6.99835,13.8965,WALKING,3
-6.9365,2.996325,7.7671,11.16375,WALKING,3
-4.610025,-3.7899,8.365825,10.4645,WALKING,3
-1.6846,-6.1946,4.840425,8.10525,WALKING,3
2.111225,-4.172775,3.30365,5.80925,WALKING,3
2.6992,-1.450225,0.708375,3.33225,WALKING,3
1.997575,0.73625,-1.119975,2.4545,WALKING,3
0.263825,1.344175,0.373325,1.6385,WALKING,3
-1.64555,0.970275,0.932025,2.1435,WALKING,3
-0.914275,0.912025,0.237575,1.365,WALKING,3
0.476125,1.4878,0.51715,1.7005,WALKING,3
1.9213,1.4663,0.442366667,2.479333333,WALKING,3
2.73624,0.46772,-0.71892,2.9286,WALKING,3
1.969325,0.288775,-1.945775,2.8105,WALKING,3
1.088625,1.142225,-1.822725,2.43625,WALKING,3
0.654175,1.652725,-1.40055,2.26975,WALKING,3
0.7631,1.5069,-1.265375,2.13025,WALKING,3
0.422225,-0.15555,-2.36725,2.491,WALKING,3
1.042725,-1.480875,-2.40545,3.027,WALKING,3
1.389466667,-1.172033333,-1.6064,2.427333333,WALKING,3
0.75848,-1.181,-2.50864,2.91,WALKING,3
1.2669,-2.404475,-4.0398,4.892,WALKING,3
3.77175,-3.2135,-3.4194,6.07775,WALKING,3
6.34715,-3.167625,-2.200225,7.443,WALKING,3
6.32865,-3.210675,-2.975575,7.73175,WALKING,3
5.70375,-5.82365,-3.780775,8.9995,WALKING,3
5.621566667,-5.814833333,-3.7881,8.938,WALKING,3
3.71974,-3.41458,-3.7446,6.3278,WALKING,3
-0.560225,-1.700125,-3.064975,3.75325,WALKING,3
-5.639475,-3.530075,-1.227875,6.8665,WALKING,3
-9.503175,-5.379525,1.622525,11.0715,WALKING,3
-9.598975,-5.070925,3.878575,11.5415,WALKING,3
-8.726325,-3.7611,4.548275,10.5365,WALKING,3
-4.3233,-1.8321,1.6384,5.01175,WALKING,3
1.464625,-0.84295,0.41915,2.4565,WALKING,3
7.821825,-1.29905,1.931325,8.197,WALKING,3
6.60805,-1.548975,2.06005,7.176,WALKING,3
0.232775,0.07155,4.46645,4.75525,WALKING,3
-2.3546,2.359125,5.767425,6.67475,WALKING,3
-3.50895,3.74765,5.15455,7.29725,WALKING,3
-4.875025,4.500975,5.29105,8.489,WALKING,3
-4.8033,4.7301,5.8917,8.9605,WALKING,3
-3.9172,4.6692,6.244775,8.72825,WALKING,3
-3.644775,5.153075,6.039275,8.7405,WALKING,3
-3.0056,5.524475,5.24885,8.2035,WALKING,3
-2.896275,5.875475,3.004925,7.24375,WALKING,3
-1.17115,5.06375,-0.7193,5.49325,WALKING,3
1.119275,1.5123,-5.819525,6.3495,WALKING,3
4.1433,-6.127575,-11.5101,13.7325,WALKING,3
5.640075,-17.099225,-12.8296,22.708,WALKING,3
1.486025,-9.72685,-2.29175,10.22225,WALKING,3
1.386225,2.990275,-3.101225,4.7745,WALKING,3
-3.05838,-0.83242,-2.96686,6.2314,WALKING,3
-0.572066667,-9.2311,-6.479833333,11.43533333,WALKING,3
2.6373,-5.669575,3.678375,8.8065,WALKING,3
-4.040125,3.3594,11.346175,12.67475,WALKING,3
-6.96125,6.679425,3.503325,10.527,WALKING,3
-6.2663,5.05385,4.535375,9.49675,WALKING,3
-4.9459,0.55505,9.818825,11.13025,WALKING,3
-2.890875,-3.240325,8.543425,9.646,WALKING,3
0.23655,-3.79855,3.2778,5.245,WALKING,3
2.076225,-2.693,-0.440475,3.49975,WALKING,3
