Mean_X,StdDev_X,Min_X,Max_X,Mean_Y,StdDev_Y,Min_Y,Max_Y,Mean_Z,StdDev_Z,Min_Z,Max_Z,Activity,Subject
-0.00434530262,0.0098523002900627,-0.035466667,0.0363,0.01979318166,0.0084455756474161,-0.0133,0.041325,-0.002752128746,0.0095340778117679,-0.0283,0.02888,LAYING,4
-0.0413726209519999,0.8314986982941341,-6.93906,5.139166667,0.007320150958,0.7657492457309532,-4.97625,6.093825,-0.005788663342,0.352807626939058,-2.2786,2.452133333,SITTING,5
-0.1092625825359999,2.7897455250494,-7.468875,7.593075,-0.223249465622,3.140193915979239,-12.79412857,7.7914,0.325616450556,1.7352151401751863,-7.0429,6.787575,WALKING_UPSTAIRS,1
-0.27137072047,4.092203792734462,-10.977225,8.98135,-0.6920399366860001,4.494699140156124,-21.7675,9.669966667,0.387549066918,4.822930071067369,-20.116025,15.561225,WALKING,3
0.0538201754759999,2.664533942214529,-7.04855,7.755575,-0.14401832261,2.860431711709773,-12.70828571,4.9811,-0.143509609508,2.459860495032676,-11.235525,8.1393,WALKING_DOWNSTAIRS,4
-0.002652442576,0.0116250806972457,-0.03775,0.0343,0.012973992384,0.0101947897291762,-0.0246,0.046533333,-0.001599669188,0.0129538835132193,-0.048275,0.0577,SITTING,1
0.0126083762039999,2.343218741781761,-7.065,6.531475,-0.306919832382,2.387202370545994,-11.30693333,4.175775,0.2284480854759999,2.487929377792885,-16.53943333,7.896733333,WALKING_UPSTAIRS,5
0.009496559044,0.3771617013095614,-1.605325,2.807275,-0.017979708812,0.1683644574688738,-1.319325,0.574425,-0.0130590595219999,0.3280747179940665,-1.457,1.735275,STANDING,1
0.006249396182,0.0672749307365616,-0.253475,0.2273,-0.002221729528,0.0327848522957059,-0.121925,0.128625,-0.013584161906,0.0429947222393573,-0.1596,0.1177,STANDING,6
-0.0252649095239999,0.1397589606033757,-0.55415,0.387675,0.0019109861879999,0.0542847999034425,-0.186275,0.221175,0.037610516904,0.0860085130795762,-0.282425,0.2651,STANDING,2
-0.13243078437,2.457577069873375,-6.247966667,8.1054,-0.331095442218,2.112697494991369,-8.660333333,5.269733333,0.0358112576219999,1.680233851810684,-7.652325,6.285375,WALKING_UPSTAIRS,4
-0.222253719764,0.0164911881654029,-0.2905625,-0.1686625,-0.006397344146,0.0094775894171439,-0.034511111,0.024188889,0.11117205949,0.0102145392523497,0.074666667,0.1484375,LAYING,3
-0.211223429138,0.0132685139816208,-0.2624,-0.1707,-0.021111467898,0.0109077684253746,-0.0550375,0.0157,0.116675374624,0.010348906141656,0.083575,0.149542857,LAYING,1
-0.264526425714,4.154577393933378,-10.90465,8.72925,-0.715330594756,4.4879505322937465,-22.13525,12.337975,0.408180741424,5.009013855173503,-23.4099,14.644275,WALKING,1
-0.0424146085719999,1.1172459369884469,-9.938775,4.804325,-0.030885406666,0.9437903799810258,-5.00142,6.6745,-0.043175934274,0.8329045414871385,-5.711025,5.935166667,SITTING,4
0.1243151261899999,2.8077574956081293,-8.082325,9.817575,-0.198360095242,2.9845052331621624,-11.519725,6.673833333,-0.244742505726,2.342200850775486,-8.2939,7.922633333,WALKING_DOWNSTAIRS,6
-0.0037234233379999,0.1269142686350174,-0.78708,0.8406,-0.0072147599999999,0.1397430186792941,-0.81885,1.14895,0.000748586664,0.0999574679328637,-0.608075,0.99115,SITTING,2
-0.0015389757079999,0.0197116147948644,-0.0785,0.06755,0.015676455238,0.0182037588956854,-0.058966667,0.07015,-0.002431990412,0.0186162733046693,-0.070875,0.07545,LAYING,6
-0.208309629242,0.0200543192680963,-0.35095,-0.038911111,-0.026022679408,0.0119059996977433,-0.071209091,0.011211111,0.115466150344,0.0123393216955487,0.0600125,0.18025,LAYING,2
0.054189674974,1.175762821669344,-2.76685,5.199925,0.078652663512,1.914753853856515,-6.103475,3.5152,0.1864467227739999,1.2244958558878092,-5.0035,3.529125,WALKING_DOWNSTAIRS,1
-0.0103510218959999,0.1326861500777458,-0.6956,0.817675,0.0015310990539999,0.0402874042827351,-0.1938,0.175675,0.00253417667,0.1520219856841733,-1.37555,2.16725,STANDING,4
0.037229509286,4.09713960228588,-9.8579,13.53605,-0.5721471109599999,5.015890688285745,-17.01716667,9.466775,0.342225093574,4.467679795209535,-17.06446667,16.274125,WALKING_DOWNSTAIRS,3
-0.565814785716,2.2265015935417525,-9.443375,6.818266667,-0.522029928094,2.6003557633490613,-8.070366667,4.877075,0.181957352852,2.9964203018678592,-9.662475,9.0351,WALKING_UPSTAIRS,2
0.005870638094,4.190322860028984,-14.55322,7.9225,-0.327829157136,2.204317804365131,-7.12098,4.16225,0.084572986668,3.2594298568002067,-12.74255,9.026975,WALKING,6
-0.0503910592739999,4.269672099780049,-14.623475,8.01736,-0.348450279052,2.364085231106619,-7.3245,5.306,0.0356092837879999,3.3205168427014726,-11.243475,9.75235,WALKING,5
