Mean_X,StdDev_X,Min_X,Max_X,Mean_Y,StdDev_Y,Min_Y,Max_Y,Mean_Z,StdDev_Z,Min_Z,Max_Z,Activity,Subject
-0.211223429138,0.013268513981620877,-0.2624,-0.1707,-0.021111467898,0.010907768425374617,-0.0550375,0.0157,0.116675374624,0.01034890614165603,0.083575,0.149542857,LAYING,1
-0.208309629242,0.020054319268096314,-0.35095,-0.038911111,-0.026022679408,0.011905999697743374,-0.071209091,0.011211111,0.115466150344,0.012339321695548792,0.0600125,0.18025,LAYING,2
-0.222253719764,0.01649118816540291,-0.2905625,-0.1686625,-0.006397344146,0.009477589417143934,-0.034511111,0.024188889,0.11117205949,0.010214539252349705,0.074666667,0.1484375,LAYING,3
-0.00434530262,0.009852300290062765,-0.035466667,0.0363,0.019793181660000003,0.008445575647416182,-0.0133,0.041325,-0.002752128746,0.009534077811767981,-0.0283,0.02888,LAYING,4
-0.00621259572,0.027113294131788607,-0.113225,0.1284,0.016538095646,0.02423626676857104,-0.090025,0.126775,-0.002509787616,0.019655473466653223,-0.10345,0.08415,LAYING,5
-0.0015389757079999997,0.019711614794864413,-0.0785,0.06755,0.015676455238,0.01820375889568549,-0.058966667,0.07015,-0.0024319904120000003,0.01861627330466932,-0.070875,0.07545,LAYING,6
-0.0026524425760000004,0.011625080697245778,-0.03775,0.0343,0.012973992384,0.010194789729176293,-0.0246,0.046533333,-0.001599669188,0.0129538835132193,-0.048275,0.0577,SITTING,1
-0.0037234233379999982,0.12691426863501748,-0.78708,0.8406,-0.007214759999999998,0.13974301867929417,-0.81885,1.14895,0.0007485866640000003,0.09995746793286378,-0.608075,0.99115,SITTING,2
0.0057432999960000015,0.42183010849182156,-3.9524,4.911625,-0.003983233330000001,0.1957015415832287,-1.2585,1.702325,0.009504153332,0.35266377470538085,-3.365175,4.992525,SITTING,3
-0.04241460857199999,1.1172459369884467,-9.938775,4.804325,-0.030885406666,0.9437903799810258,-5.00142,6.6745,-0.04317593427400004,0.8329045414871385,-5.711025,5.935166667,SITTING,4
-0.04137262095199998,0.8314986982941341,-6.93906,5.139166667,0.0073201509580000075,0.7657492457309532,-4.97625,6.093825,-0.005788663342000002,0.352807626939058,-2.2786,2.452133333,SITTING,5
-0.003916300951999999,0.038501506227821974,-0.32265,0.294025,-0.003254219114,0.02296684381450055,-0.149225,0.087975,-0.0022687647560000004,0.03523230417842413,-0.29695,0.304566667,SITTING,6
0.009496559044000005,0.37716170130956145,-1.605325,2.807275,-0.017979708812000002,0.1683644574688738,-1.319325,0.574425,-0.013059059521999998,0.32807471799406657,-1.457,1.735275,STANDING,1
-0.025264909523999998,0.1397589606033757,-0.55415,0.387675,0.0019109861879999996,0.0542847999034425,-0.186275,0.221175,0.03761051690400001,0.08600851307957627,-0.282425,0.2651,STANDING,2
0.014441956188,0.18197245489273822,-0.810025,1.13405,-0.001996991908,0.047440115404958585,-0.323,0.194375,-0.03036000524,0.09727754010830326,-0.456925,0.40312,STANDING,3
-0.010351021895999998,0.1326861500777458,-0.6956,0.817675,0.0015310990539999997,0.04028740428273514,-0.1938,0.175675,0.00253417667,0.15202198568417338,-1.37555,2.16725,STANDING,4
-0.021837903096000002,0.20883158363846457,-0.7356,0.8798,0.006633252389999999,0.07609466293409495,-0.380833333,0.29035,-0.004418839047999999,0.11569457272232808,-0.73328,1.2132,STANDING,5
0.006249396182,0.06727493073656163,-0.253475,0.2273,-0.002221729528,0.03278485229570597,-0.121925,0.128625,-0.013584161906,0.042994722239357304,-0.1596,0.1177,STANDING,6
-0.26452642571400004,4.154577393933378,-10.90465,8.72925,-0.715330594756,4.4879505322937465,-22.13525,12.337975,0.408180741424,5.009013855173503,-23.4099,14.644275,WALKING,1
-0.34869506952400003,4.2170271951316955,-12.3054,11.979475,-0.7499204733340001,4.4673088339259195,-21.930775,7.6317,0.390903788584,4.764005113197316,-21.221075,13.9946,WALKING,2
-0.27137072047000005,4.092203792734462,-10.977225,8.98135,-0.6920399366860001,4.494699140156124,-21.7675,9.669966667,0.387549066918,4.822930071067369,-20.116025,15.561225,WALKING,3
-0.05373721927399998,4.366039137004127,-15.29886,10.735925,-0.39695225643000004,2.279208401833962,-7.9588,3.88905,0.110613860012,3.3914523929234797,-13.704575,11.43686667,WALKING,4
-0.050391059273999984,4.269672099780049,-14.623475,8.01736,-0.34845027905200004,2.364085231106619,-7.3245,5.306,0.03560928378799998,3.3205168427014726,-11.243475,9.75235,WALKING,5
0.005870638094000021,4.190322860028984,-14.55322,7.9225,-0.327829157136,2.204317804365131,-7.12098,4.16225,0.08457298666800002,3.2594298568002067,-12.74255,9.026975,WALKING,6
