time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
26.59536,-0.0038,0.001,0.002,0.004
26.615143,0.0121,-0.0132,-0.002,0.018
26.636068,0.002,0.0103,-0.0109,0.015
26.65526,0.0137,-0.0068,-0.0131,0.02
26.67548,-0.001,-0.0044,-0.0242,0.025
26.694889,0.0012,0.0053,-0.0142,0.015
26.715179,-0.001,0.0174,-0.0167,0.024
26.741495,-0.0115,-0.0014,-0.0007,0.012
26.755566,0.014,-0.0032,-0.0046,0.015
26.774722,0.0199,-0.0072,-0.0132,0.025
26.794436,0.0106,-0.0093,-0.0017,0.014
26.81464,0.0054,-0.0117,0.0148,0.02
26.83723,0.0047,-0.0028,-0.0015,0.006
26.854803,0.0037,0.0147,0.0042,0.016
26.875044,0.0029,0.0178,0.0025,0.018
26.895016,-0.0027,0.0212,0.008,0.023
26.914619,-0.0105,0.0225,0.0087,0.026
26.945541,0.0032,0.0332,0.0162,0.037
26.954281,-0.0186,0.0274,0.0138,0.036
26.974242,-0.0185,0.0151,0.0182,0.03
26.994056,-0.0085,0.008,0.0223,0.025
27.014496,0.0105,0.0155,0.0096,0.021
27.039026,0.0244,-0.0054,0.0185,0.031
27.054722,0.0118,-0.0145,0.0086,0.021
27.079326,0.0087,-0.0115,0.0011,0.014
27.094062,0.0081,-0.0109,0.0106,0.017
27.114254,0.0072,-0.0107,0.0085,0.015
27.140024,0.0087,-0.0271,0.0156,0.032
27.153789,0.0127,-0.0125,0.013,0.022
27.174093,0.012,-0.0146,0.001,0.019
27.193512,-0.0024,0.0019,-0.0037,0.005
27.213562,-0.0098,0.0151,0.0084,0.02
27.238028,-0.0097,0.0139,0.0249,0.03
27.254791,-0.0166,0.0183,0.0054,0.025
27.273985,0.0028,0.0039,-0.002,0.005
27.293933,-0.0113,-0.0031,0.0049,0.013
27.314411,-0.0064,0.0086,0.0026,0.011
27.342555,-0.0086,0.0061,0.0071,0.013
27.357405,-0.0153,0.0135,0.0136,0.025
27.373251,0.004,0.0085,0.0036,0.01
27.393176,0.0154,0.004,-0.0058,0.017
27.412879,0.0055,-0.0072,-0.0054,0.011
27.435845,0.0125,-0.0019,-0.0148,0.019
27.453121,0.0029,0.0125,-0.0267,0.03
27.473391,-0.0157,-0.0061,-0.0075,0.018
27.493351,-0.0004,0.0161,-0.0012,0.016
27.513428,0.0029,0.0193,0.0023,0.02
27.534014,-0.0014,0.0032,-0.0008,0.004
27.553343,-0.0078,-0.0172,0.0125,0.023
27.572937,0.0045,-0.0085,0.0094,0.013
27.592634,0.0047,-0.0027,-0.0028,0.006
27.612988,0.0092,-0.004,-0.0006,0.01
27.638618,-0.0009,-0.0104,-0.0005,0.01
27.652831,0.0009,-0.0027,-0.0119,0.012
27.672956,0.0073,0.012,0.0051,0.015
27.692431,-0.0077,0.0071,0.003,0.011
27.715154,-0.0081,-0.0092,0.0059,0.014
27.732396,0.0013,0.0102,0.0014,0.01
27.752561,0.0108,0.008,-0.0128,0.019
27.772424,0.0081,0.0108,-0.015,0.02
27.792276,0.0081,0.0042,-0.0221,0.024
27.812317,0.0174,0.0075,-0.0127,0.023
27.833769,0.0126,0.0083,-0.0127,0.02
27.852366,0.0124,0.0017,-0.0103,0.016
27.872358,0.0029,-0.0073,-0.0032,0.008
27.892158,0.0009,0.0051,-0.0082,0.01
27.91334,0.0059,0.0034,-0.0155,0.017
27.931859,0.0176,0.0131,-0.013,0.026
27.952158,0.0058,0.0015,-0.0013,0.006
27.97198,-0.0083,-0.0097,-0.0133,0.018
27.991881,-0.001,-0.0113,-0.0178,0.021
28.011633,-0.0104,0.0058,-0.0083,0.014
28.034368,-0.0077,0.0084,-0.0012,0.011
28.0521,0.0071,-0.0005,0.015,0.017
28.071739,0.0147,-0.0142,-0.007,0.022
28.091636,0.01,0.0074,-0.0188,0.023
28.111432,0.0002,-0.0003,-0.0322,0.032
28.131749,0.0072,-0.0196,-0.0053,0.022
28.151625,-0.007,0.0137,-0.0098,0.018
28.173069,0.0026,0.0227,-0.0212,0.031
28.191345,-0.0139,0.0127,-0.0253,0.031
28.211361,-0.0106,-0.0041,-0.0132,0.017
28.231449,0.0114,0.0128,0.0076,0.019
28.251967,-0.0024,0.0058,-0.0049,0.008
28.271465,-0.0016,0.0109,0.0042,0.012
28.291416,-0.0012,0.0086,0.0039,0.01
28.311914,0.011,-0.0078,-0.0224,0.026
28.331717,0.0084,-0.0029,-0.0056,0.01
28.350931,0.0102,-0.0072,-0.0171,0.021
28.371118,0.0096,-0.0094,-0.0094,0.016
28.391033,0.0018,0.0069,0.0053,0.009
28.41125,0.0079,0.0109,-0.0105,0.017
28.431576,-0.0115,0.0104,-0.0027,0.016
28.450939,-0.0042,0.0054,-0.0073,0.01
28.470994,-0.0016,0.0122,-0.0096,0.016
28.491046,0.0031,0.0189,-0.0115,0.022
28.511087,0.0102,0.014,-0.0086,0.019
28.533124,0.003,0.009,0.0009,0.01
28.558207,0.0052,-0.0028,-0.0107,0.012
28.570285,0.0005,0.0046,-0.0153,0.016
28.590381,0.0005,0.0072,-0.0174,0.019
28.610397,-0.0092,-0.0025,-0.0121,0.015
28.630806,0.0049,0.0023,0.0047,0.007
28.650828,-0.0025,0.0072,-0.0048,0.009
28.671677,-0.0049,0.0025,-0.0022,0.006
28.691007,-0.0118,-0.0018,-0.0139,0.018
28.711047,-0.0023,0.0051,-0.0157,0.017
28.730543,0.0021,-0.0048,-0.0127,0.014
28.755453,0.0016,-0.0045,-0.0052,0.007
28.770258,0.0037,0.0122,-0.0121,0.018
28.790205,0.0059,0.0094,-0.0094,0.015
28.809481,0.0147,-0.0168,-0.0089,0.024
28.829571,0.007,-0.0071,-0.0086,0.013
28.850209,0.0145,0.0142,-0.025,0.032
28.870431,0.0045,0.0089,-0.0216,0.024
28.889912,-0.0048,0.006,-0.0114,0.014
28.909986,0.0128,0.0149,0.0047,0.02
28.931492,0.0083,0.0191,0.011,0.024
28.951791,0.0015,0.0093,-0.0037,0.01
28.970636,-0.0144,-0.0003,-0.0018,0.014
28.990961,0.0027,-0.0096,-0.0138,0.017
29.009898,0.0099,-0.0028,-0.0041,0.011
29.029658,0.0071,-0.0011,0.001,0.007
29.055698,0.0092,-0.0061,-0.008,0.014
29.069633,-0.0031,0.0106,-0.0003,0.011
29.089655,0.0084,0.0074,-0.0045,0.012
29.109452,-0.0133,0.0139,-0.0017,0.019
29.129421,-0.0132,0.0062,0.0058,0.016
29.162563,0.0012,0.0151,-0.0012,0.015
29.169699,0.0009,0.0146,-0.0102,0.018
29.189715,0.0027,0.0163,0.0,0.017
29.208948,0.0095,0.0206,-0.002,0.023
29.229129,0.0069,0.0106,0.0053,0.014
29.254935,0.0209,-0.0062,-0.0207,0.03
29.268922,0.016,0.0085,-0.0039,0.018
29.289825,0.0039,-0.0005,-0.004,0.006
29.308952,0.0204,0.0068,-0.0039,0.022
29.328932,0.0105,0.0063,-0.0085,0.015
29.352291,0.015,-0.0058,0.013,0.021
29.36899,-0.0017,0.0015,0.0007,0.002
29.389014,0.0126,-0.0078,-0.0018,0.015
29.408785,0.0031,-0.0073,-0.0137,0.016
29.430475,-0.0017,-0.0191,0.0054,0.02
29.450578,0.0029,-0.007,0.0055,0.009
29.468939,0.0104,0.0001,0.0027,0.011
29.489197,0.0007,0.0138,0.0076,0.016
29.508544,-0.0068,-0.0033,-0.0017,0.008
29.52826,-0.0138,0.0065,-0.0063,0.016
29.550876,0.0006,0.0154,-0.0106,0.019
29.569325,-0.0139,0.0005,-0.0193,0.024
29.588693,-0.0159,0.0191,-0.0071,0.026
29.60911,0.0081,0.0067,0.0023,0.011
29.628509,0.0152,0.0159,-0.0075,0.023
29.64842,-0.0018,-0.001,0.0021,0.003
29.668231,0.0104,-0.0056,0.0066,0.014
29.687917,0.0056,-0.0099,-0.0126,0.017
29.708229,0.0078,0.0141,-0.0124,0.02
29.728185,0.0145,-0.0002,-0.0026,0.015
29.748818,0.0072,-0.0142,0.0021,0.016
29.768362,0.0021,0.0094,-0.0048,0.011
29.78838,0.0109,0.0039,-0.0068,0.013
29.80822,-0.0135,0.0057,-0.0156,0.021
29.828996,-0.0184,-0.0063,-0.0053,0.02
29.852773,-0.006,0.0006,0.0113,0.013
29.867504,0.0058,0.0169,0.0114,0.021
29.887932,0.0034,0.0212,-0.0077,0.023
29.907894,0.0009,0.0042,0.0019,0.005
29.927996,-0.0036,0.0091,0.0017,0.01
29.948423,0.0018,0.0043,-0.0105,0.012
29.967449,0.0166,0.0046,-0.0086,0.019
29.98796,0.0073,0.0095,-0.0016,0.012
30.007165,0.0071,0.0025,0.0103,0.013
30.026967,0.0092,0.0026,-0.0018,0.01
30.049725,0.0017,-0.0021,0.0006,0.003
30.068174,-0.0013,-0.002,-0.0061,0.007
30.088464,0.0127,0.0007,0.0012,0.013
30.107557,-0.0041,-0.0089,-0.0035,0.01
30.129095,0.0007,0.0051,-0.0009,0.005
30.150558,-0.0087,0.0074,0.0063,0.013
30.167534,-0.0011,0.0005,-0.0012,0.002
30.187692,0.0155,0.0005,-0.0013,0.016
30.207506,0.0127,0.0097,-0.0105,0.019
30.242886,0.0192,-0.0066,-0.0172,0.027
30.246778,-0.0048,-0.0038,-0.0143,0.016
30.266815,0.0117,0.0128,-0.0093,0.02
30.286531,-0.0119,0.0076,-0.0208,0.025
30.306316,-0.0042,0.0025,0.0009,0.005
30.326437,0.0078,0.0045,0.0102,0.014
30.347861,0.0102,0.0018,0.0074,0.013
30.369346,-0.0153,0.0114,-0.0054,0.02
30.386425,-0.003,-0.0025,-0.001,0.004
30.406272,-0.0001,-0.0067,-0.0201,0.021
30.426603,0.0118,0.0006,-0.0032,0.012
30.446379,0.0069,-0.0017,0.0039,0.008
30.466373,0.002,-0.0086,-0.0103,0.014
30.486505,0.0066,0.0031,-0.005,0.009
30.505937,-0.0011,0.0024,0.0096,0.01
30.525989,-0.0184,0.0043,0.0031,0.019
30.545945,-0.0135,0.006,-0.0011,0.015
30.565729,0.0008,0.0079,0.0015,0.008
30.585749,0.0082,0.0242,-0.0033,0.026
30.605338,0.008,0.0144,0.0014,0.017
30.6256,0.0122,-0.0026,-0.0101,0.016
30.646109,0.0046,0.014,0.0021,0.015
30.666637,0.0114,0.0046,-0.0001,0.012
30.686056,-0.0029,-0.005,-0.0025,0.006
30.705542,0.0112,-0.0048,-0.0001,0.012
30.727183,-0.0009,-0.007,-0.0073,0.01
30.746901,0.0016,0.0123,-0.0052,0.013
30.766501,0.0064,0.0029,-0.0031,0.008
30.785173,-0.003,0.008,-0.0055,0.01
30.805334,-0.0028,0.0128,-0.0152,0.02
30.826508,-0.0025,-0.0036,0.011,0.012
30.845643,-0.002,-0.0151,-0.0154,0.022
30.865055,-0.0163,0.0067,0.0038,0.018
30.884886,-0.0018,-0.0026,0.0082,0.009
30.904501,-0.0015,0.0048,0.0078,0.009
30.924366,0.0056,0.0189,0.0005,0.02
30.944711,0.0077,-0.0075,-0.0041,0.012
30.964587,0.0049,-0.0022,-0.0038,0.007
30.984562,0.0025,0.0075,-0.0153,0.017
31.004452,0.002,0.0096,-0.0193,0.022
31.025186,-0.0097,0.0067,0.0025,0.012
31.044817,0.0027,0.0018,0.0093,0.01
31.064984,0.0099,0.0015,0.0018,0.01
31.084734,0.0026,-0.0126,-0.0008,0.013
31.104533,0.0032,-0.0051,-0.0013,0.006
31.125644,0.0102,-0.007,-0.0017,0.013
31.144263,0.0079,0.0003,-0.0043,0.009
31.165393,0.0004,0.005,-0.0017,0.005
31.18506,0.0048,-0.0071,-0.0015,0.009
31.204555,0.0021,-0.0026,-0.0084,0.009
31.224315,0.0086,0.0088,-0.0054,0.013
31.244494,-0.0065,0.0033,-0.002,0.008
31.264036,-0.0138,0.0003,0.0104,0.017
31.28409,0.0029,0.012,-0.0181,0.022
31.303979,0.0006,0.0069,-0.004,0.008
31.323424,0.0031,0.0185,-0.0063,0.02
31.343849,0.003,0.0136,-0.0086,0.016
31.363928,0.0008,0.0112,-0.0042,0.012
31.384218,0.0059,0.0091,-0.0045,0.012
31.403757,-0.0012,-0.0051,-0.002,0.006
31.423596,0.0084,-0.0026,0.0005,0.009
31.443997,0.0086,0.007,0.0074,0.013
31.472243,-0.0056,0.0025,0.0022,0.007
31.48388,-0.0052,-0.0064,0.0018,0.008
31.503154,-0.0049,-0.0035,-0.0078,0.01
31.522923,0.0071,-0.001,0.0065,0.01
31.543363,-0.0002,0.0038,0.0089,0.01
31.56415,0.0022,0.0038,-0.0102,0.011
31.584167,-0.0028,-0.0037,-0.0027,0.005
31.603288,-0.0074,0.0033,0.0094,0.012
31.623221,0.0043,-0.0015,0.0142,0.015
31.643725,-0.0027,0.0036,0.0089,0.01
31.66915,0.0025,0.0083,-0.015,0.017
31.682917,0.007,0.008,-0.0052,0.012
31.702789,0.0161,-0.0087,-0.0072,0.02
31.722845,0.004,0.0059,-0.0044,0.008
31.742831,0.0181,0.0129,-0.0161,0.027
31.763714,-0.0105,0.003,-0.018,0.021
31.78335,-0.0074,0.0052,0.0031,0.01
31.802856,0.003,0.0146,-0.0025,0.015
31.822421,0.0152,0.0167,-0.003,0.023
31.845547,0.0037,-0.0041,0.0082,0.01
31.865163,-0.0075,-0.0156,-0.002,0.017
31.882304,0.0073,-0.0104,-0.0025,0.013
31.902634,0.0073,0.0016,0.0047,0.009
31.921788,0.0067,-0.0034,0.0072,0.01
31.941854,0.0041,-0.0107,-0.0116,0.016
31.964692,0.0037,0.0084,-0.0041,0.01
31.982302,-0.0017,0.0077,0.0129,0.015
32.002209,-0.0187,0.0096,0.0016,0.021
32.021962,-0.0042,-0.0026,-0.0029,0.006
32.041972,0.0078,0.0116,0.002,0.014
32.068602,0.0053,0.0159,0.0045,0.017
32.081829,0.0122,0.0131,-0.0049,0.019
32.102435,0.0118,0.0129,-0.0097,0.02
32.122754,0.0091,-0.0014,0.0096,0.013
32.142059,-0.0007,-0.001,-0.0165,0.017
32.161824,-0.0008,0.0019,-0.014,0.014
32.18161,0.0018,0.0022,0.0025,0.004
32.201697,0.0069,0.0004,0.0091,0.011
32.221803,-0.0023,0.0007,0.0014,0.003
32.241391,-0.0138,0.0055,0.0012,0.015
32.262421,0.0078,0.008,0.0104,0.015
32.281804,0.0101,0.0006,-0.0088,0.013
32.3017,0.0028,0.0031,-0.0064,0.008
32.321263,0.0077,-0.009,0.0031,0.012
32.34184,-0.0045,0.0029,-0.0016,0.006
32.367216,-0.0046,0.0076,0.0035,0.01
32.381677,-0.0116,0.0029,-0.0036,0.013
32.401713,0.0052,0.0029,0.0011,0.006
32.421628,0.0073,0.0144,-0.0059,0.017
32.441638,-0.0098,0.0092,-0.0101,0.017
32.461876,-0.0004,0.0069,-0.019,0.02
32.481239,0.0161,0.0111,-0.0256,0.032
32.501617,-0.0101,0.0011,-0.0013,0.01
32.52149,-0.0162,-0.0013,0.0125,0.021
32.541327,-0.0036,0.0176,0.0071,0.019
32.566803,0.0086,0.0152,0.0113,0.021
32.580628,-0.0028,-0.0038,0.0057,0.007
32.600631,0.0024,-0.0175,-0.0114,0.021
32.620406,0.0026,-0.0044,-0.009,0.01
32.640986,0.0118,-0.0038,-0.011,0.017
32.66236,0.0039,0.0033,-0.0035,0.006
32.680511,-0.0033,-0.013,-0.0081,0.016
32.700825,-0.0007,0.0203,-0.0126,0.024
32.720581,0.0106,0.0152,0.0018,0.019
32.741835,-0.0181,0.0246,0.0019,0.031
32.760297,0.0016,0.0126,-0.0057,0.014
32.780802,0.0018,0.0179,0.0035,0.018
32.800317,0.0093,0.0136,-0.004,0.017
32.820047,0.0095,0.0163,0.0002,0.019
32.840717,0.0141,0.0053,-0.0074,0.017
32.861569,0.0024,-0.0007,-0.0056,0.006
32.880434,0.0004,0.0049,-0.0062,0.008
32.900487,0.0007,-0.0038,-0.0112,0.012
32.920627,0.0105,-0.0032,-0.0069,0.013
32.942193,0.0081,-0.0045,-0.0051,0.011
32.95979,0.0014,0.0013,-0.0059,0.006
32.979849,-0.0001,0.0045,0.0004,0.004
32.999764,-0.0046,0.0031,-0.0071,0.009
33.019584,0.0026,-0.0035,-0.0094,0.01
33.040777,0.0001,0.0022,0.0047,0.005
33.060514,0.005,0.0054,-0.01,0.012
33.080742,-0.0021,0.0015,0.0064,0.007
33.100029,-0.0041,0.0047,0.0009,0.006
33.119434,-0.0083,-0.0062,0.0001,0.01
33.141842,-0.0099,0.0089,-0.0125,0.018
33.158834,-0.0049,0.0042,-0.008,0.01
33.179589,0.0024,-0.0075,-0.0056,0.01
33.199446,0.0069,-0.0113,-0.0199,0.024
33.219303,0.0094,0.0107,-0.0153,0.021
33.239306,0.0001,0.0107,-0.0175,0.021
33.260581,-0.0131,0.0038,0.0013,0.014
33.2808,-0.0003,-0.0006,0.0028,0.003
33.299216,0.0102,0.0189,-0.008,0.023
33.31949,0.0109,0.0023,0.0031,0.012
33.349839,0.0018,0.0028,0.0121,0.013
33.358567,0.0019,-0.0106,0.0117,0.016
33.378713,-0.0119,-0.0055,-0.0054,0.014
33.398645,0.0121,-0.0052,-0.0125,0.018
33.418396,0.0022,-0.0118,0.0068,0.014
33.438602,0.0064,0.0051,0.0046,0.009
33.458676,0.0175,0.0241,0.0,0.03
33.479513,-0.0046,0.0022,-0.0042,0.007
33.498651,0.0002,0.0091,0.0034,0.01
33.519118,-0.007,0.009,-0.0039,0.012
33.538422,0.0124,0.0109,-0.0064,0.018
33.559001,0.0101,0.0103,-0.0018,0.015
33.579137,-0.0044,-0.0044,-0.0065,0.009
33.598189,0.0027,0.0077,-0.0137,0.016
33.618318,0.0097,0.0005,-0.0018,0.01
33.638647,0.0025,-0.0089,-0.0039,0.01
33.657968,0.0002,-0.0135,0.0056,0.015
33.679439,0.0003,0.0082,-0.004,0.009
33.698616,0.0027,-0.0013,-0.0064,0.007
33.718179,-0.0,0.0009,-0.0085,0.009
33.738232,0.0067,0.0104,-0.0104,0.016
33.758429,0.0108,-0.004,0.0091,0.015
33.778685,0.0081,0.003,-0.0098,0.013
33.79781,0.0005,-0.0069,-0.0043,0.008
33.818006,-0.0048,-0.0118,0.0103,0.016
33.837493,-0.0028,-0.0024,-0.0038,0.005
33.85786,0.0084,0.0015,-0.0078,0.012
33.879104,0.0099,0.0006,-0.0024,0.01
33.898167,-0.0028,-0.0046,0.0053,0.008
33.91793,-0.0077,0.0068,-0.0086,0.013
33.937548,0.0158,0.0155,-0.0174,0.028
33.957995,-0.0127,0.0027,-0.0097,0.016
33.97917,-0.0121,-0.0002,0.0144,0.019
33.997332,0.0003,0.016,0.0186,0.025
34.017462,0.0006,0.0178,0.0084,0.02
34.037162,-0.0042,0.0031,0.0153,0.016
34.057375,-0.0012,0.003,-0.0117,0.012
34.08122,0.0018,-0.0017,-0.0097,0.01
34.098198,0.0185,-0.0017,-0.0122,0.022
34.117526,0.0252,-0.0252,0.0138,0.038
34.13734,0.0253,-0.0199,-0.0105,0.034
34.157226,0.0206,0.0067,0.0006,0.022
34.182949,0.014,0.0092,-0.0074,0.018
34.197427,-0.002,0.0259,-0.0056,0.027
34.217295,-0.0225,0.0427,-0.0086,0.049
34.237128,-0.0326,0.0288,0.0066,0.044
34.257506,-0.0427,0.02,0.0171,0.05
34.279077,-0.0316,-0.0046,0.0204,0.038
34.296836,-0.0303,0.0092,-0.0117,0.034
34.316635,-0.0175,0.0011,-0.0095,0.02
34.336609,-0.0165,0.0145,-0.0098,0.024
34.356171,-0.0118,0.0163,0.0139,0.024
34.376866,0.015,-0.0168,0.0122,0.026
34.396663,0.0479,-0.0294,-0.0081,0.057
34.417163,0.0362,-0.0616,-0.0471,0.086
34.436535,0.0238,0.001,-0.0165,0.029
34.456612,0.0214,0.019,-0.0287,0.041
34.485606,0.035,0.0271,0.0255,0.051
34.49629,-0.0105,0.0419,0.0002,0.043
34.516274,0.0088,0.044,-0.0194,0.049
34.535997,0.0051,0.0335,-0.0084,0.035
34.556314,0.0415,0.0046,0.0209,0.047
34.57822,0.0314,-0.0212,-0.0013,0.038
34.596683,0.0011,-0.0466,-0.0323,0.057
34.616042,0.0226,-0.0718,-0.0197,0.078
34.635622,0.0471,-0.0696,0.0431,0.094
34.655494,0.0532,-0.0249,0.018,0.061
34.676467,-0.0005,0.0111,-0.0356,0.037
34.695883,-0.0253,0.0552,-0.0137,0.062
34.715688,-0.061,0.0563,0.0114,0.084
34.735925,-0.0946,0.0556,0.0137,0.111
34.757128,-0.1273,0.0364,0.009,0.133
34.776274,-0.1255,0.0266,0.0298,0.132
34.795736,-0.0663,-0.0138,0.0623,0.092
34.815631,-0.0468,-0.0367,0.0165,0.062
34.835303,-0.0051,-0.0452,-0.0198,0.05
34.855773,0.0389,-0.0417,-0.0211,0.061
34.876276,0.0698,-0.0033,-0.0226,0.073
34.895428,0.0641,0.0047,-0.0002,0.064
34.915606,0.0474,0.0099,0.0071,0.049
34.936364,0.0466,0.0148,-0.0122,0.05
34.955602,0.0479,0.0199,-0.0404,0.066
34.98231,0.0547,0.0273,-0.0074,0.062
34.995559,0.0508,0.0355,-0.0026,0.062
35.015083,0.0433,0.0253,-0.0247,0.056
35.034769,0.0366,0.0113,-0.0349,0.052
35.054794,0.0374,-0.0,-0.045,0.058
35.075174,0.0218,-0.0155,-0.0198,0.033
35.095352,0.0238,-0.0006,-0.0169,0.029
35.115696,0.0142,0.0159,-0.009,0.023
35.134902,-0.0047,0.0013,0.0011,0.005
35.155326,-0.0135,0.0106,0.006,0.018
35.175221,-0.0271,0.0248,0.0085,0.038
35.19432,-0.0428,0.0414,0.0063,0.06
35.214569,-0.0609,0.0229,0.023,0.069
35.234508,-0.0768,0.0503,0.0327,0.097
35.254998,-0.0625,0.0389,0.0427,0.085
35.273875,-0.0711,-0.0241,0.0208,0.078
35.294521,-0.0566,-0.0339,0.0003,0.066
35.316817,-0.0389,-0.0516,-0.0163,0.067
35.334414,0.0034,-0.0371,-0.0008,0.037
35.354852,0.0231,-0.0289,0.01,0.038
35.37441,0.042,-0.0265,0.0138,0.052
35.394562,0.0535,-0.0053,-0.004,0.054
35.414056,0.0583,0.0061,-0.01,0.059
35.433841,0.0657,-0.0152,-0.0211,0.071
35.454285,0.0832,0.0024,-0.0067,0.084
35.474139,0.083,0.0152,-0.0156,0.086
35.494916,0.0691,-0.0048,-0.0388,0.079
35.514692,0.0658,-0.0263,-0.0386,0.081
35.534402,0.0499,-0.031,-0.0179,0.061
35.553828,0.0204,-0.026,-0.0504,0.06
35.573879,0.027,0.0161,-0.018,0.036
35.593301,-0.0512,0.0673,-0.0423,0.095
35.613506,-0.0829,0.1002,0.0052,0.13
35.633218,-0.0609,0.1044,0.0464,0.129
35.653402,-0.0767,0.1136,0.0624,0.151
35.674529,-0.1007,0.085,0.028,0.135
35.693755,-0.0775,0.0165,0.0135,0.08
35.713969,-0.0734,-0.0572,0.0036,0.093
35.733637,-0.0416,-0.1067,0.0019,0.115
35.761441,-0.0031,-0.1095,0.0088,0.11
35.773659,0.0176,-0.0999,0.0487,0.112
35.793089,0.0013,-0.0919,0.0486,0.104
35.812959,0.0142,-0.0618,0.0247,0.068
35.832473,0.0586,-0.0668,-0.0224,0.092
35.853137,0.0803,-0.0462,-0.0348,0.099
35.872705,0.0877,0.0025,-0.0335,0.094
35.89323,0.056,0.0651,-0.0214,0.088
35.913186,0.0047,0.111,0.0079,0.111
35.932586,-0.0104,0.1075,0.0086,0.108
35.952011,-0.0011,0.0648,-0.0379,0.075
35.971874,0.0074,0.0071,-0.0565,0.057
35.992688,0.0095,0.0145,-0.0523,0.055
36.012497,0.0188,0.0329,-0.0249,0.045
36.032494,0.0117,0.046,0.0107,0.049
36.053752,-0.0087,0.0378,-0.0118,0.041
36.072587,0.0167,0.0078,0.0148,0.024
36.092885,0.0399,0.0035,0.0116,0.042
36.113261,0.0105,0.0063,-0.0477,0.049
36.133422,-0.0263,0.0083,-0.0333,0.043
36.152103,-0.0348,0.0001,-0.0073,0.036
36.172589,-0.0387,-0.0221,0.0398,0.06
36.192656,-0.01,0.0005,0.0616,0.062
36.212218,-0.0083,-0.0173,0.0104,0.022
36.232028,-0.016,-0.0251,-0.0225,0.037
36.255531,-0.0029,-0.0056,-0.0141,0.015
36.271476,-0.0155,0.0041,0.0029,0.016
36.293613,-0.0215,-0.0028,0.0113,0.024
36.311565,-0.0003,-0.007,0.0112,0.013
36.332039,0.0075,-0.0227,0.0055,0.024
36.358942,0.0224,-0.0167,-0.0262,0.038
36.371384,0.0421,-0.0136,-0.0244,0.051
36.392386,0.0557,-0.0173,-0.0152,0.06
36.4117,0.057,-0.0073,-0.013,0.059
36.431587,0.0393,-0.0105,-0.0198,0.045
36.451735,0.0448,-0.0045,0.0142,0.047
36.471762,0.0213,-0.0229,-0.0103,0.033
36.492081,-0.0124,-0.0057,-0.0304,0.033
36.514461,-0.0153,0.0303,0.0156,0.037
36.531502,-0.0561,0.0471,0.0217,0.076
36.551361,-0.0241,0.0524,0.0093,0.058
36.571438,-0.0437,0.0298,0.0209,0.057
36.591048,-0.0307,0.0386,-0.0056,0.05
36.611614,-0.0366,0.0282,-0.0056,0.047
36.631253,0.0075,0.0158,-0.0204,0.027
36.651503,0.0414,0.0085,-0.0184,0.046
36.671247,0.0725,-0.0006,-0.0103,0.073
36.691858,0.0707,-0.0368,-0.0172,0.082
36.711841,0.0751,-0.0465,-0.0493,0.101
36.731191,0.0807,-0.0454,-0.0627,0.112
36.756479,0.0284,-0.0127,-0.0666,0.074
36.770956,0.0142,0.0391,-0.0408,0.058
36.79061,-0.01,0.0516,0.0288,0.06
36.810944,-0.0633,0.032,0.0466,0.085
36.830622,-0.0906,-0.0013,0.1017,0.136
36.850356,-0.1089,0.0177,0.0586,0.125
36.871368,-0.0393,0.0368,0.003,0.054
36.891673,-0.0046,-0.0174,-0.0076,0.02
36.913759,0.0208,-0.0317,-0.0139,0.04
36.930782,0.0043,-0.0367,-0.049,0.061
36.950889,0.0424,-0.0362,-0.0219,0.06
36.970168,0.0529,-0.024,-0.0047,0.058
36.991711,-0.0597,0.0147,0.0092,0.062
37.010521,0.0033,0.0007,0.0842,0.084
37.030178,-0.0678,0.0467,0.1588,0.179
37.049842,0.0135,0.0842,0.0011,0.085
37.069778,0.2572,0.0465,-0.0135,0.262
37.097084,-0.1477,0.0363,-0.0427,0.158
37.110717,0.0303,-0.1517,0.0126,0.155
37.13024,-0.208,-0.1843,0.1801,0.331
37.156017,-0.1471,-0.0144,0.1705,0.226
37.170126,0.0002,0.0966,-0.0672,0.118
37.192205,0.1069,0.0719,-0.288,0.315
37.209669,0.1586,0.0294,-0.3029,0.343
37.229597,0.1672,-0.0547,-0.0291,0.178
37.249666,0.104,-0.0465,0.0181,0.115
37.269583,-0.0371,0.0333,-0.0439,0.066
37.297584,-0.0927,0.081,-0.0495,0.133
37.309939,-0.0525,0.0885,-0.0023,0.103
37.329863,0.001,0.0615,0.0036,0.062
37.349628,0.0163,0.0929,-0.0308,0.099
37.369689,0.0462,0.1215,-0.0346,0.135
37.393528,0.0614,0.0758,-0.0154,0.099
37.409304,0.0482,0.0312,0.0248,0.063
37.429224,0.0731,-0.0057,0.0267,0.078
37.449046,0.0986,-0.0373,-0.014,0.106
37.46935,0.1433,-0.1056,-0.0475,0.184
37.490708,0.1537,-0.116,-0.0376,0.196
37.509999,0.1641,-0.0642,-0.01,0.176
37.529167,0.1364,-0.0724,0.0308,0.157
37.548943,0.1205,-0.0809,0.027,0.148
37.568977,-0.0114,-0.2273,-0.1771,0.288
37.588845,-0.0059,-0.1468,-0.1135,0.186
37.609339,-0.1557,0.0909,-0.2866,0.339
37.62886,0.6581,-0.3142,-0.0366,0.73
37.650575,-0.1053,0.0056,-0.2266,0.25
