time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.47136,0.7646,0.7717,0.9686,1.455
2.491726,1.6143,0.0788,0.6343,1.736
2.519426,2.5487,-0.1005,0.2591,2.564
2.531263,1.4326,0.5348,0.271,1.553
2.551223,0.1264,0.5887,-0.1681,0.625
2.571295,0.7393,0.2851,0.3494,0.866
2.591326,1.0795,0.213,2.1759,2.438
2.621636,-0.3509,0.7129,1.324,1.544
2.634316,-1.9213,1.3156,0.0879,2.33
2.651172,-2.2497,2.0638,-0.4433,3.085
2.672011,-1.1943,2.0767,-1.8223,3.01
2.691397,-0.9974,2.2612,-1.4757,2.878
2.71704,-1.3089,2.3285,-1.4548,3.042
2.731086,-0.5714,1.9641,-1.7094,2.666
2.750699,0.7583,0.9345,-1.3336,1.796
2.770673,1.9566,0.275,-0.6116,2.068
2.791123,0.7194,0.2416,0.4488,0.882
2.817833,0.1858,0.4335,0.1487,0.495
2.831022,-1.6027,-0.2907,0.149,1.636
2.851038,-0.8976,-0.7896,-5.7249,5.848
2.871026,4.5754,0.0018,-2.7527,5.34
2.890923,-5.5392,0.0164,0.3631,5.551
2.917437,-2.8162,-0.0063,0.8674,2.947
2.930521,-0.5964,-1.2412,2.1186,2.527
2.950524,-0.6271,-1.2663,0.9993,1.731
2.970566,-0.3683,0.3295,0.3285,0.593
2.990501,-1.2683,1.3068,-4.4546,4.812
3.022293,-0.0592,-0.6208,-1.479,1.605
3.035046,0.0527,-2.5608,0.7061,2.657
3.050086,-1.48,0.9329,2.1973,2.809
3.069786,-0.3811,-1.1757,1.1861,1.713
3.090074,-0.9496,-1.0105,1.6161,2.129
3.11662,-1.7403,-0.6571,-0.3296,1.889
3.130673,0.4339,2.8386,-2.4724,3.789
3.150564,0.275,2.9938,2.2894,3.779
3.170362,1.1925,1.7635,3.0181,3.693
3.189624,1.3468,-1.1908,-0.7157,1.935
3.220034,0.1656,-3.5027,-5.0782,6.171
3.230793,-3.4782,-2.1774,-1.1482,4.261
3.249696,-0.7956,-0.3708,0.2311,0.908
3.269556,0.7708,0.8619,1.4752,1.874
3.28947,0.6685,0.1617,0.0761,0.692
3.317317,-0.2113,-0.713,-0.1985,0.77
3.33145,-0.5787,-0.0669,-0.501,0.768
3.350031,0.0786,-0.1223,-0.6258,0.642
3.36934,0.6239,-0.7725,-0.0169,0.993
3.389621,-0.0372,0.1049,0.7048,0.714
3.410104,0.1272,0.2158,0.4903,0.551
3.42925,1.3434,-1.2909,-0.3757,1.901
3.450397,0.0097,0.4967,-0.9618,1.083
3.468961,-1.365,2.2966,-0.2748,2.686
3.489046,-0.0708,0.2715,0.8263,0.873
3.509296,-2.0551,1.1361,0.0608,2.349
3.531962,-0.144,0.5697,-0.143,0.605
3.548753,-0.4559,0.2222,0.1525,0.53
3.568695,-0.7699,0.2759,0.2798,0.864
3.589,0.1229,0.6049,-0.1847,0.644
3.610018,0.5981,-0.6975,0.7264,1.171
3.629126,-0.195,0.6566,-0.1378,0.699
3.65059,-0.045,0.7692,-0.7457,1.072
3.668531,-0.8264,1.9721,-1.1592,2.432
3.688722,1.9247,3.2833,-0.0808,3.807
3.708954,1.7935,2.7891,-0.2835,3.328
3.728857,0.8583,2.4856,0.0952,2.631
3.74979,0.6117,1.765,1.1516,2.194
3.76848,-0.0108,1.1195,0.244,1.146
3.788678,-0.7924,0.9466,-2.018,2.366
3.808062,0.4247,0.9169,-0.7388,1.252
3.830764,-0.1187,1.9465,0.9818,2.183
3.847855,-0.1608,0.5114,-0.0904,0.544
3.868069,1.5791,0.0418,-0.2347,1.597
3.887922,1.4362,-1.8117,0.1313,2.316
3.911198,0.2353,-2.3114,-0.0353,2.324
3.928517,1.4124,-0.5994,0.1897,1.546
3.950115,1.148,0.8201,-0.1714,1.421
3.968297,2.2266,1.3992,0.0206,2.63
3.987721,2.7467,0.9009,0.7992,2.999
4.008849,0.3337,-0.4085,0.9398,1.078
4.028144,-3.0247,-0.004,0.4456,3.057
4.05003,-6.2608,-4.1121,-1.459,7.631
4.06787,-1.2519,-6.8703,2.0186,7.269
4.087782,-3.4263,-7.7765,-1.3977,8.612
4.111475,-2.3411,-1.0728,1.2003,2.841
4.127863,0.6082,0.3537,1.4057,1.572
4.149211,0.4372,-2.5594,-0.3324,2.618
4.167571,0.7876,-2.3607,-1.2889,2.803
4.18721,-0.7005,1.4725,1.7934,2.424
4.208849,-0.2865,1.6789,-1.5852,2.327
4.234421,1.5677,0.3008,0.1543,1.604
4.248837,-1.4942,0.6201,-0.6764,1.753
4.267659,-0.4394,0.2072,0.2872,0.564
4.287697,-0.0472,0.6113,-0.2546,0.664
4.310222,0.2967,0.1674,-0.2376,0.415
4.328137,-0.8509,-1.2925,0.0821,1.55
4.348855,-1.4814,-0.1984,-0.4924,1.574
4.366671,-1.1859,-0.4545,-0.3438,1.316
4.386921,-0.1618,-0.3838,0.3301,0.531
4.408578,0.1577,0.5986,-0.3661,0.719
4.428631,0.5011,0.5568,0.4193,0.858
4.453365,0.6796,0.1188,0.9661,1.187
4.467745,0.563,0.6058,0.0331,0.828
4.487803,-0.9548,0.5801,-0.2797,1.152
4.508062,-0.6045,0.0427,-0.6707,0.904
4.526657,0.5733,-0.3968,0.4049,0.806
4.548647,0.7461,-0.8267,0.7797,1.359
4.566423,0.4136,-0.5665,-0.1693,0.722
4.586523,0.9366,-0.755,-0.2055,1.22
4.607703,-2.2075,0.4825,0.0263,2.26
4.632375,-2.9297,1.4346,-0.3406,3.28
4.647084,-0.3895,0.6692,-0.2575,0.816
4.666221,-0.9068,-0.4004,0.3908,1.066
4.686318,-0.0656,-0.5258,0.0449,0.532
4.706273,-0.3569,-0.2964,-0.2803,0.542
4.730964,-0.4342,-0.0225,0.2473,0.5
4.746212,1.1605,-0.5676,0.1178,1.297
4.76588,0.6046,-0.4122,-0.5153,0.895
4.786296,-0.8537,0.5252,-0.4828,1.113
4.806212,-0.1296,0.8364,0.3057,0.9
4.832541,-0.2696,0.7217,-0.3197,0.834
4.84606,-1.9202,0.7971,-0.5074,2.14
4.866425,1.1577,0.5014,0.7719,1.479
4.885462,-0.7742,-0.0902,0.0179,0.78
4.905259,-0.5571,-0.4835,-0.3774,0.829
4.931064,-0.0935,-0.6329,-0.0664,0.643
4.946033,3.1013,-0.75,-0.0579,3.191
4.965562,3.3486,1.1372,1.3352,3.78
4.986169,-2.3486,-2.0303,-1.7872,3.582
5.005599,-0.4302,-0.4765,-0.8066,1.031
5.032672,-1.844,-0.1211,-0.6772,1.968
5.048519,-1.2639,0.2451,0.7856,1.508
5.066008,0.0597,-0.5691,1.4153,1.527
5.085256,0.5997,0.3776,-0.0926,0.715
5.104958,-0.1554,0.2933,-0.5266,0.622
5.130929,-0.9072,-0.3713,-0.3843,1.053
5.145208,-1.8309,-1.0091,-0.4195,2.132
5.165022,0.6532,-0.5576,0.3994,0.947
5.186605,1.6017,0.645,-0.2048,1.739
5.204858,-1.1936,1.1741,0.491,1.745
5.23267,1.1864,0.1098,0.5735,1.322
5.24747,-0.1122,-0.4528,0.1709,0.497
5.26574,-0.8324,-0.9673,0.5639,1.395
5.284806,1.1969,0.1671,-0.7042,1.399
5.304683,-0.6368,-0.2299,-1.0194,1.224
5.335757,-0.8911,-0.4603,-1.3811,1.707
5.345059,0.1123,-0.8266,1.0451,1.337
5.364874,-2.3003,-0.8418,-0.3695,2.477
5.384422,-1.4051,-1.116,0.7466,1.944
5.405397,0.2745,0.3618,0.1006,0.465
5.426267,0.8315,0.406,1.0174,1.375
5.449086,0.8933,0.7261,0.0912,1.155
5.466668,1.8451,0.4356,0.3433,1.927
5.484956,-0.4628,0.2044,0.6294,0.808
5.507023,-0.7696,0.4799,0.3459,0.971
5.523811,-0.8586,1.4832,-0.462,1.775
5.54442,0.5327,0.4302,-0.5651,0.888
5.563905,1.7651,-0.674,-0.2179,1.902
5.583789,0.6796,-0.9581,1.2287,1.7
5.604037,-3.1919,2.2947,-2.2393,4.524
5.633315,-0.1875,0.4282,-0.0789,0.474
5.643191,-2.0712,1.315,0.3556,2.479
5.66296,-1.699,0.4121,0.4757,1.812
5.68309,-0.6137,-0.2069,-0.371,0.746
5.703828,2.772,-0.726,-0.2138,2.874
5.730325,2.1488,-0.0196,1.0621,2.397
5.743765,-0.2914,-0.0988,0.2973,0.428
5.764794,-2.2308,2.697,-1.9567,4.01
5.784011,-2.4617,2.7586,-1.6717,4.058
5.803362,1.5868,0.1278,-0.136,1.598
5.830276,2.2359,-0.5452,-0.3561,2.329
5.843801,0.3865,-1.13,-0.1775,1.207
5.863286,-0.7689,-0.6173,0.0935,0.99
5.883178,-0.4655,-0.9497,0.402,1.131
5.90323,-0.2956,-0.7334,-0.3828,0.879
5.930612,-0.5883,-1.554,-0.056,1.663
5.946186,0.0519,-1.8082,0.0971,1.812
5.963721,0.4406,-1.8842,-0.2597,1.952
5.983047,-0.0166,-1.8492,-0.5634,1.933
6.002952,0.6398,-2.7504,-0.9981,2.995
6.0301,1.1584,-2.4343,-1.1963,2.949
6.043101,0.629,-1.4924,0.2967,1.646
6.062809,1.7151,-0.9401,0.2351,1.97
6.082692,2.9325,0.1624,0.5082,2.981
6.102951,0.8949,1.5082,0.3055,1.78
6.124785,-3.7875,2.4064,0.1403,4.489
6.148112,-3.2371,2.9264,-0.2128,4.369
6.165205,-1.0782,1.8112,-0.0008,2.108
6.182174,-0.1858,0.5771,-0.2046,0.64
6.202123,-0.37,-0.0309,-0.1621,0.405
